日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018/01/01,永和,PM2.5,17,19,17,16,18,20,21,18,15,16,18,20,20,21,23,23,23,26,30,33,29,26,24,20
2018/01/02,永和,PM2.5,18,16,12,12,8,5,6,9,10,6,5,5,5,7,8,9,13,14,12,12,13,10,8,9
2018/01/03,永和,PM2.5,10,10,9,7,7,9,11,9,7,9,10,10,11,11,8,7,9,8,7,8,9,11,7,4
2018/01/04,永和,PM2.5,7,7,5,7,7,5,6,8,15,22,24,40,55,60,62,51,35,29,31,27,17,13,18,18
2018/01/05,永和,PM2.5,16,16,12,8,10,12,14,16,18,18,13,,10,,15,10,4,3,5,6,5,5,6,5
2018/01/06,永和,PM2.5,4,6,3,1,3,6,3,3,3,4,6,6,4,3,3,4,7,8,9,7,4,5,5,3
2018/01/07,永和,PM2.5,4,1,1,2,5,4,6,6,3,5,8,9,7,7,8,7,5,6,5,1,1,1,1,2
2018/01/08,永和,PM2.5,3,7,9,7,7,7,8,10,11,12,10,8,11,12,13,16,16,10,8,7,6,7,4,5
2018/01/09,永和,PM2.5,7,8,10,13,14,15,16,15,17,18,18,22,28,31,30,33,31,30,29,31,33,31,29,26
2018/01/10,永和,PM2.5,24,21,13,11,15,13,11,12,17,23,25,22,13,9,9,13,14,10,11,14,14,13,14,14
2018/01/11,永和,PM2.5,12,10,12,12,8,11,14,13,18,22,17,14,16,14,,23,20,17,15,13,14,17,17,16
2018/01/12,永和,PM2.5,17,15,9,9,9,8,7,11,17,17,19,19,23,26,27,29,27,28,27,22,20,19,16,15
2018/01/13,永和,PM2.5,12,8,6,6,7,8,11,9,8,10,10,8,6,4,5,6,5,3,5,5,4,3,2,2
2018/01/14,永和,PM2.5,2,6,3,1,2,2,6,7,3,3,7,8,7,7,7,5,4,6,4,4,5,5,5,7
2018/01/15,永和,PM2.5,8,5,2,2,6,7,7,9,12,12,12,7,5,6,7,6,7,10,8,7,11,9,7,10
2018/01/16,永和,PM2.5,13,16,18,14,15,20,16,14,15,17,23,35,41,36,35,36,32,31,33,37,39,29,23,25
2018/01/17,永和,PM2.5,22,17,14,14,13,11,15,24,32,30,25,20,19,20,21,23,27,32,32,26,21,20,17,13
2018/01/18,永和,PM2.5,14,13,11,9,13,12,9,15,17,13,13,13,11,10,9,14,12,12,14,13,10,8,7,8
2018/01/19,永和,PM2.5,10,9,6,7,11,8,3,7,8,7,7,7,11,11,,17,22,25,22,22,26,28,26,23
2018/01/20,永和,PM2.5,26,21,15,14,17,23,25,25,28,29,28,25,26,31,33,36,33,27,23,23,23,14,9,12
2018/01/21,永和,PM2.5,12,13,16,13,10,9,6,6,7,8,8,6,4,7,11,14,14,16,15,14,16,20,23,23
2018/01/22,永和,PM2.5,26,27,22,23,29,29,29,31,32,32,24,16,16,17,,20,17,15,15,15,11,10,9,8
2018/01/23,永和,PM2.5,11,10,7,5,6,7,9,8,9,12,11,10,7,7,10,11,10,13,13,12,13,15,18,21
2018/01/24,永和,PM2.5,22,24,24,20,22,26,28,26,26,27,27,26,26,26,21,19,15,10,12,16,14,11,15,17
2018/01/25,永和,PM2.5,15,12,9,7,7,8,8,5,3,7,10,6,6,9,8,10,13,11,12,12,8,6,7,10
2018/01/26,永和,PM2.5,10,7,6,5,3,7,9,7,8,3,2,3,2,2,3,1,1,3,3,2,4,3,4,7
2018/01/27,永和,PM2.5,4,1,1,2,4,6,7,6,3,4,4,5,7,5,3,1,5,4,4,7,7,8,9,10
2018/01/28,永和,PM2.5,10,14,16,13,16,25,28,21,11,8,9,10,8,8,7,7,12,13,7,2,3,5,4,3
2018/01/29,永和,PM2.5,6,4,1,1,1,5,6,5,5,4,6,10,14,15,13,14,17,17,19,22,19,17,20,22
2018/01/30,永和,PM2.5,18,11,9,6,5,5,2,4,8,9,7,7,7,6,7,9,9,10,11,12,12,7,7,10
2018/01/31,永和,PM2.5,8,8,5,6,7,7,7,5,7,8,6,7,7,7,7,7,8,13,11,11,8,2,4,4
2018/02/01,永和,PM2.5,5,6,7,9,13,17,17,19,25,32,40,46,49,45,41,45,45,42,38,34,26,18,9,4
2018/02/02,永和,PM2.5,7,11,11,8,10,12,9,10,12,12,13,14,16,15,,17,17,17,18,20,21,19,18,16
2018/02/03,永和,PM2.5,20,21,23,29,29,33,40,45,41,35,36,34,36,39,32,28,30,26,18,13,12,11,12,10
2018/02/04,永和,PM2.5,7,7,5,4,7,9,7,6,7,6,7,6,4,7,9,7,7,11,14,11,9,9,9,8
2018/02/05,永和,PM2.5,7,7,7,8,7,9,11,10,11,16,20,16,14,20,22,22,25,23,22,24,19,16,21,19
2018/02/06,永和,PM2.5,17,20,20,18,20,24,25,22,26,27,26,25,24,27,25,24,23,19,24,26,22,21,22,23
2018/02/07,永和,PM2.5,26,28,25,21,20,21,21,15,16,18,18,17,13,10,10,14,17,16,17,18,18,18,19,19
2018/02/08,永和,PM2.5,17,15,11,12,11,10,10,13,14,14,13,10,12,17,,,18,19,20,16,15,18,16,10
2018/02/09,永和,PM2.5,13,16,9,10,12,11,16,22,24,20,18,13,17,29,39,,32,37,42,40,40,43,39,38
2018/02/10,永和,PM2.5,38,40,38,31,27,24,26,27,26,27,31,33,28,26,21,12,9,13,13,11,12,13,18,18
2018/02/11,永和,PM2.5,17,16,14,15,19,21,19,19,15,11,16,23,26,30,33,29,27,30,31,26,21,23,23,20
2018/02/12,永和,PM2.5,23,21,18,18,19,19,19,20,21,24,21,15,19,23,22,26,26,28,30,28,25,24,23,21
2018/02/13,永和,PM2.5,21,22,19,20,22,21,20,20,21,20,22,21,16,14,15,19,21,21,22,22,18,16,17,17
2018/02/14,永和,PM2.5,16,16,12,12,17,19,18,16,19,18,19,21,23,23,27,32,30,31,34,32,24,20,25,26
