"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.0","...","1017.4","2018-11-01 09:31","1014.6","2018-11-01 02:04","19.0","19.7","2018-11-01 10:11","18.1","2018-11-01 13:52","...","84","77","2018-11-01 10:12","3.5","87","13.1","79","2018-11-01 13:17","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1013.6","...","1015.3","2018-11-02 00:01","1011.7","2018-11-02 14:31","20.6","21.9","2018-11-02 12:11","18.7","2018-11-02 00:56","...","93","89","2018-11-02 23:17","3.4","86","11.5","89","2018-11-02 06:07","11.5","...","...","","...","","...","...","...","...","...","...","","..."
"03","1012.3","...","1013.6","2018-11-03 09:11","1010.8","2018-11-03 15:05","22.7","24.8","2018-11-03 11:37","21.1","2018-11-03 04:43","...","94","87","2018-11-03 11:01","1.5","78","6.0","87","2018-11-03 09:10","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"04","1013.0","...","1014.7","2018-11-04 08:46","1011.2","2018-11-04 14:37","23.6","26.1","2018-11-04 10:53","21.7","2018-11-04 07:01","...","89","74","2018-11-04 14:15","1.9","94","7.7","95","2018-11-04 15:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1013.4","...","1014.9","2018-11-05 09:21","1011.9","2018-11-05 15:52","22.5","24.7","2018-11-05 15:32","20.2","2018-11-05 06:22","...","97","88","2018-11-05 14:50","2.0","83","8.9","60","2018-11-05 11:54","5.5","...","...","","...","","...","...","...","...","...","...","","..."
"06","1013.5","...","1015.3","2018-11-06 09:01","1011.5","2018-11-06 14:07","24.6","28.8","2018-11-06 12:43","21.7","2018-11-06 06:23","...","86","69","2018-11-06 12:04","3.2","90","10.2","87","2018-11-06 15:12","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","1012.8","...","1015.0","2018-11-07 08:35","1011.2","2018-11-07 14:01","25.6","29.9","2018-11-07 12:11","22.4","2018-11-07 06:03","...","81","60","2018-11-07 12:04","1.6","87","6.1","313","2018-11-07 13:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1012.4","...","1014.0","2018-11-08 09:02","1010.3","2018-11-08 13:52","24.7","29.3","2018-11-08 11:06","21.0","2018-11-08 06:01","...","81","61","2018-11-08 11:41","1.3","256","5.8","303","2018-11-08 10:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1014.7","...","1016.2","2018-11-09 08:58","1012.8","2018-11-09 02:13","21.9","23.9","2018-11-09 00:04","20.1","2018-11-09 23:46","...","89","84","2018-11-09 00:02","2.9","83","11.8","77","2018-11-09 12:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1014.3","...","1016.8","2018-11-10 08:21","1011.8","2018-11-10 14:31","23.5","27.2","2018-11-10 14:21","20.8","2018-11-10 00:02","...","84","65","2018-11-10 15:22","3.3","77","10.9","74","2018-11-10 09:25","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1012.5","...","1014.9","2018-11-11 08:35","1010.6","2018-11-11 14:14","24.1","27.7","2018-11-11 12:01","20.9","2018-11-11 06:28","...","77","63","2018-11-11 12:03","1.2","45","6.8","323","2018-11-11 14:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1010.8","...","1013.3","2018-11-12 08:11","1008.1","2018-11-12 14:11","23.2","27.1","2018-11-12 14:41","21.4","2018-11-12 03:02","...","82","63","2018-11-12 15:12","1.7","103","8.7","50","2018-11-12 17:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1012.0","...","1013.7","2018-11-13 08:53","1010.3","2018-11-13 14:21","21.1","22.3","2018-11-13 11:52","19.6","2018-11-13 23:23","...","83","74","2018-11-13 13:06","2.8","85","10.2","71","2018-11-13 12:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1013.6","...","1015.5","2018-11-14 08:57","1011.9","2018-11-14 14:53","21.0","22.7","2018-11-14 13:01","19.4","2018-11-14 01:30","...","77","70","2018-11-14 13:04","3.4","104","11.9","77","2018-11-14 14:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
