序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,南投縣,埔里鎮,埔里,2019/7/10,二氧化氮 NO2 (ppb),6.1,6.5,6.4,5.7,5.4,5.4,5.2,6.4,7.3,5.2,4.5,6.2,4.5,4.8,6.8,6.7,6.7,7.8,11,10,12,11,7.8,7.8
2,南投縣,埔里鎮,埔里,2019/7/10,氮氧化物 NOx (ppb),14,9,9.6,11,11,12,14,12,14,7.3,5.6,7.6,5.3,5.3,7.9,8.2,7.7,8.9,13,12,14,12,9.1,9.3
3,南投縣,埔里鎮,埔里,2019/7/10,一氧化氮 NO (ppb),7.9,2.5,3.2,5.1,6,6.2,9,6.1,6.7,2.2,1.1,1.4,0.8,0.5,1,1.4,1,1.1,1.7,2.1,2.5,1.8,1.4,1.5
4,南投縣,埔里鎮,埔里,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),9,4,5,9,7,7,10,14,13,10,7,8,8,6,9,11,11,11,10,10,12,13,10,8
5,南投縣,埔里鎮,埔里,2019/7/10,小時風向值 WD_HR (degrees),144,138,145,154,136,163,121,125,152,170,177,121,124,156,67,62,73,72,80,87,112,104,87,98
6,南投縣,埔里鎮,埔里,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),31,28,33,33,32,32,37,25,31,24,20,19,20,23,25,22,32,28,33,27,28,31,25,31
7,南投縣,埔里鎮,埔里,2019/7/10,一氧化碳 CO (ppm),0.23,0.16,0.18,0.17,0.16,0.2,0.22,0.23,0.22,0.14,0.12,0.18,0.12,0.13,0.17,0.17,0.21,0.24,0.32,0.33,0.39,0.29,0.21,0.18
8,南投縣,埔里鎮,埔里,2019/7/10,相對濕度 RH (percent),88,87,88,89,89,89,89,79,73,63,60,65,60,69,83,75,71,70,75,78,80,81,82,85
9,南投縣,埔里鎮,埔里,2019/7/10,風向 WIND_DIREC (degrees),144,94,104,163,121,164,63,165,163,166,170,113,180,110,58,72,67,123,103,96,150,94,68,95
10,南投縣,埔里鎮,埔里,2019/7/10,臭氧 O3 (ppb),2.1,2.4,2,1.7,1.8,2.3,2.9,7.1,11,21,25,26,31,29,26,26,25,21,13,8.5,5.9,5.7,6.1,4.6
11,南投縣,埔里鎮,埔里,2019/7/10,溫度 AMB_TEMP (℃),23.8,23.4,23.4,23,22.7,22.5,22.7,24.5,26.6,28.7,29.8,29.1,30.2,28.5,25.7,27.5,28,28.1,27.4,26.4,25.7,25.4,25.1,24.7
12,南投縣,埔里鎮,埔里,2019/7/10,二氧化硫 SO2 (ppb),3.4,1.9,2.2,2.2,2.3,2,2.6,1.8,2.1,1.6,1.2,1,0.9,0.8,0.8,1,0.9,1,1.5,1.8,2.1,2.3,2.3,2.2
13,南投縣,埔里鎮,埔里,2019/7/10,風速 WIND_SPEED (m/sec),0.5,0.4,0.5,0.4,0.4,0.4,1.1,1.6,1.3,2.1,2,1.4,2.1,1.7,2,1.6,2,0.5,1.3,1.3,0.6,1,1.5,0.7
14,南投縣,埔里鎮,埔里,2019/7/10,小時風速值 WS_HR (m/sec),0.5,0.2,0.4,0.3,0.2,0.3,0.6,0.6,0.7,1.1,2.3,1.4,0.8,2,2.1,1.7,1.8,1,0.9,1,0.7,0.9,0.5,0.8
15,南投縣,竹山鎮,竹山,2019/7/10,一氧化氮 NO (ppb),2.9,5.3,4.7,6.6,6.4,6.4,9.2,7.7,x,1.2,1.9,2,1.4,1.6,2.3,1.4,0.6,1,1.6,1.3,1.7,0.6,1.5,1.1
