序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,臺中市,南屯區,忠明,2019/7/10,二氧化硫 SO2 (ppb),2.7,1.8,1.7,1.6,1.5,1.4,1.6,1.9,2,2,2.1,2,1.9,1.7,2,2.1,2.1,2.4,2.2,2.2,2.3,2.1,2.2,2.2
2,臺中市,南屯區,忠明,2019/7/10,二氧化氮 NO2 (ppb),4.8,3.5,3.4,3.2,3.4,3.9,5.4,7.2,8.1,5,10,5.9,6,6.8,9.2,6.8,7.7,11,13,11,8.4,7.4,10,7.5
3,臺中市,南屯區,忠明,2019/7/10,一氧化氮 NO (ppb),1.5,0.3,0.3,0.4,0.3,0.6,1.6,3.9,5.3,2.2,3.9,1.9,1.6,1.5,2.8,1.9,1.4,2.1,1.9,1.3,0.8,0.7,0.8,0.6
4,臺中市,南屯區,忠明,2019/7/10,小時風向值 WD_HR (degrees),179,178,188,179,169,169,168,168,179,189,193,191,192,174,154,169,191,195,247,186,158,126,164,162
5,臺中市,南屯區,忠明,2019/7/10,小時風速值 WS_HR (m/sec),1.6,1.8,1.8,1.6,1.1,1.1,1.1,1.7,2.2,3.7,2.3,3.8,3.5,2.1,1.7,2.1,3.3,2.4,1.6,1.9,1.2,1.8,0.9,1.1
6,臺中市,南屯區,忠明,2019/7/10,總碳氫化合物 THC (ppm),1.7,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.6,1.7,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7
7,臺中市,南屯區,忠明,2019/7/10,風向 WIND_DIREC (degrees),157,184,180,146,171,164,174,166,191,189,194,192,188,150,150,178,184,245,187,177,142,142,167,129
8,臺中市,南屯區,忠明,2019/7/10,溫度 AMB_TEMP (℃),29.2,29.1,28.9,28.4,28.1,28.2,28.5,29.3,31,32.3,30.2,32.5,32.2,28.5,29.4,30.6,30.8,30.2,28,27.4,27.1,26.7,27,27.3
9,臺中市,南屯區,忠明,2019/7/10,風速 WIND_SPEED (m/sec),1.8,2.3,1.6,1.7,1.3,1.4,2,2.3,3.7,5.6,3.5,4.4,4,2.1,2.6,2.4,3.1,2.3,1.5,2.6,0.9,1.4,0.9,1.6
10,臺中市,南屯區,忠明,2019/7/10,氮氧化物 NOx (ppb),6.4,3.8,3.7,3.6,3.7,4.5,6.9,11,13,7.2,14,7.8,7.5,8.3,12,8.7,9.1,14,15,12,9.2,8.1,11,8.1
11,臺中市,南屯區,忠明,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
12,臺中市,南屯區,忠明,2019/7/10,臭氧 O3 (ppb),15,16,15,15,14,12,11,12,17,27,22,28,30,25,23,26,25,20,15,16,18,19,15,16
13,臺中市,南屯區,忠明,2019/7/10,一氧化碳 CO (ppm),0.16,0.12,0.11,0.12,0.12,0.14,0.17,0.29,0.32,0.2,0.24,0.19,0.19,0.19,0.24,0.21,0.23,0.35,0.36,0.29,0.25,0.25,0.31,0.22
