序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,臺北市,中山區,中山,2019/7/10,風速 WIND_SPEED (m/sec),1.4,1.9,1.3,1.5,1.3,1.8,1.7,1,1.6,2.2,1.7,2.1,2.1,2.3,1.9,1.6,2.2,1.6,2,2,1.5,2,1.3,1.1
2,臺北市,中山區,中山,2019/7/10,臭氧 O3 (ppb),4,5.5,8.9,7.7,7.1,6.4,8.3,11,18,27,42,45,41,33,42,32,25,17,14,13,12,12,15,18
3,臺北市,中山區,中山,2019/7/10,氮氧化物 NOx (ppb),20,15,11,10,11,13,16,24,42,33,22,24,23,31,21,29,34,42,39,33,29,20,21,16
4,臺北市,中山區,中山,2019/7/10,溫度 AMB_TEMP (℃),30.3,29.5,28.8,28.6,28.6,28.4,28.5,29.9,32,33.8,34.8,35.9,36.6,36.5,34.8,33.8,33.8,32.6,32.7,32.3,31.6,31.3,31,30.5
5,臺北市,中山區,中山,2019/7/10,二氧化硫 SO2 (ppb),1.2,1.3,1.2,1.1,1.1,1.1,1.3,1.3,2.4,2.4,1.9,1.6,1.2,1.6,2.6,5.1,4.4,4.2,3.1,2.5,2,1.9,1.7,1.6
6,臺北市,中山區,中山,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),27,26,25,25,22,26,25,28,28,27,31,31,25,29,28,30,35,35,26,32,29,30,29,29
7,臺北市,中山區,中山,2019/7/10,風向 WIND_DIREC (degrees),157,143,148,153,156,157,183,183,239,294,278,279,246,250,128,204,91,91,275,253,240,132,86,94
8,臺北市,中山區,中山,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),7,8,8,12,8,14,4,7,11,21,22,21,17,16,21,17,19,17,21,14,13,12,15,16
9,臺北市,中山區,中山,2019/7/10,甲烷 CH4 (ppm),1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
10,臺北市,中山區,中山,2019/7/10,小時風向值 WD_HR (degrees),163,159,153,151,138,158,164,220,277,273,253,262,259,263,127,100,94,87,199,249,244,167,124,120
11,臺北市,中山區,中山,2019/7/10,相對濕度 RH (percent),70,73,75,75,75,76,75,68,59,53,50,46,43,44,52,57,57,62,60,62,66,67,68,72
12,臺北市,中山區,中山,2019/7/10,二氧化氮 NO2 (ppb),19,12,9,8.6,9.5,10,10,14,22,21,15,18,16,20,18,22,25,30,28,20,19,17,18,14
13,臺北市,中山區,中山,2019/7/10,小時風速值 WS_HR (m/sec),0.8,1.3,1.3,1.1,1,1.3,1.6,0.9,0.5,0.9,0.7,1,1.5,1.6,1.4,0.4,1.3,1.5,0.4,1.7,1.3,1.2,1.1,1.5
14,臺北市,中山區,中山,2019/7/10,一氧化碳 CO (ppm),0.46,0.35,0.25,0.24,0.26,0.29,0.33,0.48,1.13,0.68,0.43,0.47,0.42,0.52,0.38,0.44,0.5,0.71,0.78,0.7,0.6,0.45,0.44,0.35
15,臺北市,中山區,中山,2019/7/10,一氧化氮 NO (ppb),1.7,2.7,1.9,1.5,1.7,2.3,5.6,10,20,13,6.3,5.5,6.1,11,3.6,6.3,8.2,12,11,13,10,2.8,3.4,2.3
16,臺北市,中山區,中山,2019/7/10,總碳氫化合物 THC (ppm),2,1.9,1.8,1.9,1.9,2,1.9,1.9,2,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.8,1.8
17,臺北市,中山區,中山,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.19,0.14,0.11,0.1,0.11,0.14,0.13,0.15,0.27,0.2,0.15,0.16,0.15,0.17,0.14,0.15,0.17,0.2,0.24,0.22,0.19,0.18,0.13,0.1
18,臺北市,北投區,陽明,2019/7/10,氮氧化物 NOx (ppb),3.3,1.6,1.4,0.9,0.3,1.3,1.2,0.6,2.4,4.4,2.4,2.1,2.3,2.8,2.9,3.1,3,4.2,4.4,3.5,4.3,6.5,5.1,2.5
19,臺北市,北投區,陽明,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
20,臺北市,北投區,陽明,2019/7/10,臭氧 O3 (ppb),18,19,19,20,20,18,19,21,23,30,34,37,43,41,41,40,30,27,25,24,21,16,19,21
21,臺北市,北投區,陽明,2019/7/10,一氧化碳 CO (ppm),0.11,0.11,0.11,0.1,0.09,0.12,0.1,0.1,0.14,0.18,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.15,0.15,0.15,0.18,0.22,0.17,0.13
22,臺北市,北投區,陽明,2019/7/10,相對濕度 RH (percent),84,84,84,86,88,90,86,82,83,82,77,74,74,78,79,81,79,81,85,90,92,96,93,89
23,臺北市,北投區,陽明,2019/7/10,二氧化碳 CO2 (ppm),419,419,418,419,419,421,417,416,415,412,404,402,404,402,406,408,407,411,415,416,419,423,421,417
24,臺北市,北投區,陽明,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),5,5,6,6,6,7,7,9,14,17,14,9,11,12,7,11,3,7,x,10,10,11,6,4
