序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,臺南市,中西區,臺南,2019/7/10,二氧化硫 SO2 (ppb),1.7,2.3,2.1,2,2.2,2.2,2.3,2.5,2.4,2.1,1.9,1.9,2,2.1,2.2,2.2,2.1,2.1,1.8,1.8,1.8,1.9,1.8,2
2,臺南市,中西區,臺南,2019/7/10,甲烷 CH4 (ppm),1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8
3,臺南市,中西區,臺南,2019/7/10,二氧化氮 NO2 (ppb),6.4,7.6,5.7,4.2,6.2,6.1,9,9.7,8.5,3.9,3.2,3.4,4.5,3.8,3.8,5.6,5.6,9.9,3.9,7.7,7.5,9.9,6.1,11
4,臺南市,中西區,臺南,2019/7/10,溫度 AMB_TEMP (℃),27.2,27.6,27.7,27.4,27.2,27.4,27.3,28,28.8,30.6,30.7,29.7,29.1,30.8,30.8,30.2,29.8,29.4,26.9,26.1,25.6,25.8,25.7,25.7
5,臺南市,中西區,臺南,2019/7/10,風速 WIND_SPEED (m/sec),1.6,1.4,2.3,0.8,1.6,1.9,1.9,2.4,3.1,3.4,2.4,2.2,1.9,3.4,2.6,1.9,2.2,2.2,1.8,2.8,2.2,3,2.8,1.8
6,臺南市,中西區,臺南,2019/7/10,鄰二甲苯 O_XYLENE (ppb),0.2,,0.3,0.1,0.2,0.2,0.3,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.2,0.3,0.2,0.4,0.2,0.7
7,臺南市,中西區,臺南,2019/7/10,氮氧化物 NOx (ppb),8.3,8.2,6.3,4.8,6.8,6.8,11,14,12,5,4,4.6,5.7,5,4.7,6.9,6.9,11,5,8.5,8,11,6.7,12
8,臺南市,中西區,臺南,2019/7/10,間、對二甲苯 M_P_XYLENES (ppb),0.5,,0.7,0.3,0.5,0.4,0.6,1,1,0.2,0.2,0.3,0.4,0.2,0.2,0.3,0.5,1.1,0.6,0.7,0.4,1.2,0.5,0.3
9,臺南市,中西區,臺南,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),22,27,28,24,21,28,22,29,35,43,42,32,42,43,48,34,44,32,9,10,9,10,8,6
10,臺南市,中西區,臺南,2019/7/10,乙苯 ETHYLBENZENE (ppb),0.2,,0.3,0.1,0.2,0.2,0.2,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.1,0.2
11,臺南市,中西區,臺南,2019/7/10,臭氧 O3 (ppb),8.9,13,14,15,9.9,14,10,11,17,28,27,27,26,29,27,25,22,19,25,21,20,17,20,15
12,臺南市,中西區,臺南,2019/7/10,甲苯 TOLUENE (ppb),1.5,,3.3,1.1,2,2.9,1.8,1.7,2.8,0.8,0.8,1.3,1.3,0.6,1,1.1,1.8,2.7,1.3,1.6,1.1,2.1,1.4,3.4
13,臺南市,中西區,臺南,2019/7/10,一氧化碳 CO (ppm),0.2,0.15,0.14,0.12,0.16,0.15,0.23,0.36,0.34,0.15,0.16,0.17,0.21,0.17,0.17,0.22,0.24,0.39,0.2,0.3,0.26,0.27,0.18,0.16
14,臺南市,中西區,臺南,2019/7/10,苯 BENZENE (ppb),0.3,,0.2,0.1,0.2,0.1,0.3,0.3,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.4,0.2,0.3,0.2,0.3,0.1,0.8
15,臺南市,中西區,臺南,2019/7/10,相對濕度 RH (percent),93,93,92,91,93,93,93,92,91,83,80,83,84,83,81,83,86,84,90,94,95,96,96,96
16,臺南市,中西區,臺南,2019/7/10,風向 WIND_DIREC (degrees),178,180,185,113,129,141,126,207,199,216,209,183,178,217,176,187,199,178,170,269,94,116,119,136
17,臺南市,中西區,臺南,2019/7/10,總碳氫化合物 THC (ppm),1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.8,1.9
18,臺南市,中西區,臺南,2019/7/10,一氧化氮 NO (ppb),1.9,0.5,0.6,0.6,0.6,0.6,1.6,4,3.6,1.1,0.8,1.2,1.2,1.1,0.9,1.3,1.3,1.3,1,0.8,0.5,0.7,0.5,0.8
19,臺南市,中西區,臺南,2019/7/10,小時風向值 WD_HR (degrees),164,163,154,131,130,155,125,143,184,207,212,203,192,212,202,183,186,180,246,187,93,97,132,133
20,臺南市,中西區,臺南,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),12,9,11,7,7,5,5,7,11,17,16,19,14,10,12,10,18,14,11,9,8,10,2,1
21,臺南市,中西區,臺南,2019/7/10,小時風速值 WS_HR (m/sec),1.3,1.3,1.3,1.2,1.1,1.3,1.5,1.7,1.7,3.1,3.5,3.1,1.8,2.8,2.6,1.8,1.9,1.3,1.7,0.7,1.6,2.1,2.3,2.3
22,臺南市,中西區,臺南,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.07,0.1,0.08,0.05,0.08,0.07,0.09,0.12,0.12,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.07,0.12,0.05,0.09,0.08,0.12,0.06,0.09
23,臺南市,善化區,善化,2019/7/10,風速 WIND_SPEED (m/sec),2,2.2,2,1.7,2,1.4,1.5,2.2,1.5,1.3,4.6,2.1,2.6,2,2.1,2,2.7,2.9,2.8,1.7,1.5,1.7,2.9,2.8
24,臺南市,善化區,善化,2019/7/10,相對濕度 RH (percent),89,89,89,89,89,90,90,89,87,89,86,82,85,83,86,88,88,88,89,90,91,91,91,91
25,臺南市,善化區,善化,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),1,8,10,10,1,1,1,4,1,1,3,13,16,11,4,7,1,1,2,5,10,5,1,1
26,臺南市,善化區,善化,2019/7/10,溫度 AMB_TEMP (℃),26.5,26.7,26.5,26.4,26.3,26.3,26.5,27.3,27,27.2,29.4,28.8,28.8,29.5,28.4,27.7,27.9,27.4,26.1,25.8,25.7,25.7,25.5,25.3
27,臺南市,善化區,善化,2019/7/10,小時風速值 WS_HR (m/sec),1.4,2.2,1.8,1.8,1.8,1.9,1.5,2.2,0.4,1.3,1.8,2.4,1,2.5,1.1,1.3,2.7,2.7,1.3,1.9,1,1.3,2.6,3.3
28,臺南市,善化區,善化,2019/7/10,風向 WIND_DIREC (degrees),160,146,111,114,132,129,111,126,355,60,191,209,158,136,17,109,152,181,128,106,114,123,150,139
29,臺南市,善化區,善化,2019/7/10,臭氧 O3 (ppb),10,13,13,15,13,13,14,15,20,17,25,25,27,28,21,21,21,22,22,22,19,21,21,23
30,臺南市,善化區,善化,2019/7/10,小時風向值 WD_HR (degrees),143,140,117,126,126,128,128,123,32,41,208,200,162,157,83,80,135,145,168,139,161,103,143,143
31,臺南市,善化區,善化,2019/7/10,氮氧化物 NOx (ppb),7.2,3,3.3,3.3,4.5,4.5,5.3,5.5,5.1,10,9.5,8,7.5,6.9,6.9,6.8,5.1,4.8,7.1,7,8.2,3.8,3.1,2.3
32,臺南市,善化區,善化,2019/7/10,二氧化硫 SO2 (ppb),1.5,1.9,2.1,2.1,1.8,1.8,1.6,2.1,1.8,2.9,2.9,2.3,2.3,2.5,2.7,2.2,2,2,2.1,3.1,1.7,1.6,1.7,1.6
33,臺南市,善化區,善化,2019/7/10,一氧化氮 NO (ppb),1.5,1.1,0.8,1.1,1.4,1.2,1.4,1.9,1.8,2.5,2.9,2.6,2,2,1.6,1.8,1.6,1.3,1.5,2.1,0.9,1,1.1,1.3
34,臺南市,善化區,善化,2019/7/10,二氧化碳 CO2 (ppm),419,416,417,414,416,416,409,403,399,400,395,397,392,394,397,400,395,399,403,405,406,404,406,404
35,臺南市,善化區,善化,2019/7/10,一氧化碳 CO (ppm),0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.18,0.15,0.23,0.17,0.24,0.17,0.22,0.17,0.13,0.13,0.15,0.17,0.32,0.18,0.12,0.14,0.1
36,臺南市,善化區,善化,2019/7/10,二氧化氮 NO2 (ppb),5.7,1.9,2.5,2.2,3.1,3.3,3.9,3.6,3.3,7.5,6.6,5.4,5.5,4.9,5.3,5.1,3.5,3.5,5.7,4.9,7.2,2.8,2.1,1
37,臺南市,善化區,善化,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),30,27,27,29,26,27,19,27,29,21,31,27,26,30,26,22,27,26,20,19,14,11,11,15
38,臺南市,安南區,安南,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.24,0.3,0.46,0.31,0.43,0.33,0.2,0.25,0.47,0.19,0.05,0.09,0.07,0.08,0.04,0.64,0.71,0.65,0.37,0.5,0.23,0.19,0.28,0.27
39,臺南市,安南區,安南,2019/7/10,二氧化氮 NO2 (ppb),8,13,10,9.1,8.1,11,10,12,12,9,4.8,6.4,6.2,5.2,5.2,15,14,13,7.3,11,7.6,8.4,7.1,5.8
40,臺南市,安南區,安南,2019/7/10,一氧化氮 NO (ppb),0.5,1,0.9,0.4,0.3,0.6,1.9,5.3,3.8,2.6,0.7,1.9,1.2,1.1,0.6,3.2,3.4,3,0.7,1.3,0.7,0.4,0.3,0
41,臺南市,安南區,安南,2019/7/10,小時風向值 WD_HR (degrees),139,140,118,138,128,131,123,122,174,213,225,225,212,221,224,158,140,113,192,144,97,102,132,129
