序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,臺東縣,臺東市,臺東,2019/7/10,二氧化硫 SO2 (ppb),1.3,1.1,1,1,1,0.9,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.2,1.3,1.1,1.3,1.3,1.3
2,臺東縣,臺東市,臺東,2019/7/10,一氧化氮 NO (ppb),-0.1,1.2,1.2,5.2,1.1,0.9,1.1,0.5,2.1,5.7,3.2,7,2.9,2.1,2.7,3.2,x,6.8,2.8,1.5,x,x,-0.1,0.9
3,臺東縣,臺東市,臺東,2019/7/10,小時風向值 WD_HR (degrees),219,216,213,214,217,216,217,217,210,204,205,191,191,193,191,208,213,217,47,37,8.7,346,200,221
4,臺東縣,臺東市,臺東,2019/7/10,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,臺東縣,臺東市,臺東,2019/7/10,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,臺東縣,臺東市,臺東,2019/7/10,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,臺東縣,臺東市,臺東,2019/7/10,小時風速值 WS_HR (m/sec),1.6,3.4,3.3,3.8,3.9,3.4,3.2,2.9,3.3,3.5,3.5,3.3,3.1,2.9,3.2,3.7,3.9,1.2,2.1,1.8,1.5,0.8,0.6,1
8,臺東縣,臺東市,臺東,2019/7/10,風向 WIND_DIREC (degrees),222,216,199,213,217,218,219,217,204,203,210,189,190,199,188,209,210,47,46,36,328,309,223,286
9,臺東縣,臺東市,臺東,2019/7/10,溫度 AMB_TEMP (℃),30.1,30.7,30.7,30.4,30.4,30.4,30.6,31.9,32.7,33.6,34.6,34.6,34.3,34.4,34.5,34.4,33.6,32.6,31.7,30.8,30.5,30.3,30.5,30.1
10,臺東縣,臺東市,臺東,2019/7/10,風速 WIND_SPEED (m/sec),2.4,3.5,3.6,4.2,4.5,3.3,2.7,4.1,3.9,4.2,4.7,4.3,3.9,3.5,4.1,4.7,3.7,2.4,2.4,2,1.5,1.3,2,0.7
11,臺東縣,臺東市,臺東,2019/7/10,氮氧化物 NOx (ppb),4.2,1.9,2,4.7,2,2.4,3.2,3.1,5.2,11,7.3,11,6.7,5.2,5.1,6.3,x,12,7.6,7.8,x,x,7,4.3
12,臺東縣,臺東市,臺東,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),23,23,17,23,24,28,31,30,36,43,38,48,49,35,34,32,31,29,20,30,30,29,30,37
13,臺東縣,臺東市,臺東,2019/7/10,臭氧 O3 (ppb),15,22,23,23,23,22,21,21,23,23,23,23,24,24,24,24,24,22,24,25,26,27,22,23
14,臺東縣,臺東市,臺東,2019/7/10,二氧化氮 NO2 (ppb),4.2,0.7,0.8,-0.5,0.9,1.5,2.2,2.6,3.1,5,4.1,4.1,3.8,3,2.3,3.1,x,5.3,4.9,6.4,x,x,7.2,3.4
15,臺東縣,臺東市,臺東,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),13,14,11,9,5,6,11,11,9,10,7,11,17,14,9,6,6,11,14,14,17,14,11,12
16,臺東縣,臺東市,臺東,2019/7/10,相對濕度 RH (percent),77,72,72,74,75,75,75,70,66,63,58,59,63,61,60,60,61,66,73,82,86,84,82,85
17,臺東縣,臺東市,臺東,2019/7/10,一氧化碳 CO (ppm),0.18,0.12,0.12,0.12,0.12,0.14,0.21,0.24,0.36,0.3,0.31,0.31,0.3,0.26,0.25,0.23,0.23,0.31,0.32,0.34,0.31,0.25,0.37,0.28
18,臺東縣,關山鎮,關山,2019/7/10,小時風速值 WS_HR (m/sec),0.2,0.1,0.3,0.1,0.3,0.3,0.8,1,0.8,0.4,1.3,1,2.5,2,2.4,1.6,1.7,2.3,2.3,1.2,1.1,0.3,0.7,1.1
19,臺東縣,關山鎮,關山,2019/7/10,氮氧化物 NOx (ppb),2.5,3.8,3.8,4.5,4.5,6.3,9.1,9.7,6.2,3.7,2.4,2.7,2.3,2.7,4.4,3.4,4.4,3.9,3.7,4.8,4.3,3.4,4.2,3.7
20,臺東縣,關山鎮,關山,2019/7/10,二氧化氮 NO2 (ppb),1.5,2.7,2.8,3.2,3.1,3.9,4.1,4.2,3.3,2.3,1.5,1.7,1.4,1.6,2.9,2.1,3,2.7,2.8,4.1,3.2,2.5,3.2,3.1
21,臺東縣,關山鎮,關山,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),24,18,17,19,13,21,25,25,17,20,33,107,183,184,149,94,32,35,26,29,24,22,25,25
22,臺東縣,關山鎮,關山,2019/7/10,風向 WIND_DIREC (degrees),342,225,49,269,123,358,88,94,83,175,187,214,185,184,181,133,27,2.6,354,19,337,229,210,216
23,臺東縣,關山鎮,關山,2019/7/10,臭氧 O3 (ppb),8.8,7.4,6.7,6.1,5.3,4,4.2,8,15,22,28,30,26,26,25,24,24,27,30,30,31,26,18,13
24,臺東縣,關山鎮,關山,2019/7/10,二氧化硫 SO2 (ppb),1.3,1.5,1.5,1.3,1.3,1.5,1.5,1.7,1.6,1.6,1.9,2.3,2.3,2.3,2.3,2,1.9,2.1,2.2,2.2,2.1,2.1,2,1.8
25,臺東縣,關山鎮,關山,2019/7/10,溫度 AMB_TEMP (℃),26.9,26.7,26.5,26,25.7,25.5,26,28,30.4,33.2,34.8,37.2,38.8,40.5,41,39.2,36.8,33.6,32.1,31.7,30.8,30.2,29.7,29.1
26,臺東縣,關山鎮,關山,2019/7/10,相對濕度 RH (percent),81,84,84,85,85,86,84,76,65,56,50,43,39,36,33,36,50,60,62,63,66,69,72,75
27,臺東縣,關山鎮,關山,2019/7/10,一氧化氮 NO (ppb),0.9,1.2,1,1.2,1.4,2.4,5,5.5,2.9,1.4,0.9,1,0.9,1.1,1.6,1.3,1.4,1.2,0.9,0.7,1.1,1,1,0.7
28,臺東縣,關山鎮,關山,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),7,7,7,7,8,8,10,9,9,8,7,11,11,11,13,9,9,11,10,11,13,13,13,11
29,臺東縣,關山鎮,關山,2019/7/10,風速 WIND_SPEED (m/sec),0.6,0.7,0.5,0.6,0.7,0.9,1.6,1.3,1,1.3,1.4,1.2,2.3,2.3,2.6,1.3,3.1,3.1,2.5,1.2,0.9,0.9,1.1,1.8
30,臺東縣,關山鎮,關山,2019/7/10,小時風向值 WD_HR (degrees),258,188,42,314,49,21,66,72,81,175,217,217,193,179,172,160,42,12,2,21,3.3,295,206,204
