序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,嘉義市,西區,嘉義,2019/7/10,二氧化硫 SO2 (ppb),2.3,1.2,1.6,1,1,1.3,1,1.8,1.7,1.2,1,1.4,1.3,1.1,1.1,1.2,1.9,1.8,1.1,1.1,1.1,1,1,1.1
2,嘉義市,西區,嘉義,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.03,0.02,0.05,0.01,0.02,0.02,0.03,0.07,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.05,0.08,0.1,0.05,0.04,0.06,0.02,0.04,0.06
3,嘉義市,西區,嘉義,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),3,8,2,4,1,7,7,7,3,4,8,11,10,11,2,3,7,14,14,12,10,3,1,1
4,嘉義市,西區,嘉義,2019/7/10,相對濕度 RH (percent),74,80,88,83,81,82,82,78,71,86,84,77,90,87,80,85,83,86,90,93,93,93,93,92
5,嘉義市,西區,嘉義,2019/7/10,一氧化碳 CO (ppm),0.14,0.1,0.1,0.09,0.1,0.1,0.13,0.2,0.16,0.14,0.14,0.15,0.16,0.14,0.15,0.16,0.2,0.25,0.2,0.17,0.21,0.12,0.15,0.14
6,嘉義市,西區,嘉義,2019/7/10,臭氧 O3 (ppb),19,20,18,19,17,20,18,17,22,20,20,30,24,21,25,22,18,20,22,21,16,22,17,15
7,嘉義市,西區,嘉義,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),16,19,17,9,12,16,18,19,22,12,12,17,13,10,17,13,23,18,5,5,9,5,7,11
8,嘉義市,西區,嘉義,2019/7/10,氮氧化物 NOx (ppb),4.3,3.3,3.5,3,3,3.1,3.6,6.5,6.6,6.1,6.1,5,5.6,7.1,5.1,7.1,10,8.5,7.9,6.1,7.3,4.6,4.7,4.8
9,嘉義市,西區,嘉義,2019/7/10,風速 WIND_SPEED (m/sec),1.8,1,2.1,1,0.9,1.2,1.5,1.8,3.1,1.7,1.2,5.2,2,1.9,1.2,1.6,1,1.5,2.1,1.2,2.3,1.9,1.1,1
10,嘉義市,西區,嘉義,2019/7/10,溫度 AMB_TEMP (℃),28.5,27.8,26.8,27.3,27.2,27.2,27.5,28.7,30.2,27.8,28.3,30.2,26.9,27.2,29.5,28,28.7,27.8,26.1,25.8,26,25.5,25.7,26
11,嘉義市,西區,嘉義,2019/7/10,風向 WIND_DIREC (degrees),178,119,171,140,195,156,132,121,219,123,124,211,161,122,160,121,166,254,221,114,225,114,119,129
12,嘉義市,西區,嘉義,2019/7/10,總碳氫化合物 THC (ppm),1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.8,1.8
13,嘉義市,西區,嘉義,2019/7/10,小時風速值 WS_HR (m/sec),1.3,1,1.2,0.9,0.7,1,0.8,1.7,1.5,1.3,1.4,2.1,1.1,1.4,0.9,0.9,0.7,2.2,2.1,0.8,0.7,1,1.3,1
14,嘉義市,西區,嘉義,2019/7/10,小時風向值 WD_HR (degrees),186,182,191,161,155,159,149,125,192,192,120,202,199,126,139,144,172,242,232,185,225,146,118,123
15,嘉義市,西區,嘉義,2019/7/10,一氧化氮 NO (ppb),1.1,0.1,0.2,0.2,0,0.2,0.1,1,1.4,0.8,1,0.5,0.3,1.1,0.6,0.6,1.5,0.9,0.5,0,-0.1,0.2,0.1,0.1
16,嘉義市,西區,嘉義,2019/7/10,二氧化氮 NO2 (ppb),3.3,3.2,3.4,2.8,3,2.9,3.4,5.5,5.2,5.2,5.1,4.5,5.3,6,4.5,6.5,8.7,7.6,7.4,6.1,7.4,4.4,4.6,4.7
17,嘉義市,西區,嘉義,2019/7/10,甲烷 CH4 (ppm),1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.8
