序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,嘉義縣,新港鄉,新港,2019/7/10,二氧化氮 NO2 (ppb),4,2.9,4.5,3.4,6.2,5.5,7.2,7.5,3.5,3.8,5.5,3.7,5.4,7.2,7.5,5.3,7,4.6,4.6,8.3,5.1,4.8,5.3,7.5
2,嘉義縣,新港鄉,新港,2019/7/10,氮氧化物 NOx (ppb),5.4,3.9,5.6,4.4,7.3,6.8,9.3,11,6.4,6.2,8.7,6,7.3,10,11,7.7,9.7,6.4,6.1,9.8,6.5,5.9,6.3,8.5
3,嘉義縣,新港鄉,新港,2019/7/10,一氧化氮 NO (ppb),1.4,1,1.1,1,1.1,1.3,2.1,3.9,2.9,2.4,3.2,2.3,1.9,2.7,3.5,2.4,2.7,1.8,1.5,1.5,1.4,1.2,1,1
4,嘉義縣,新港鄉,新港,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),9,6,10,11,9,13,10,12,5,5,7,11,11,9,12,13,20,19,17,12,9,6,2,1
5,嘉義縣,新港鄉,新港,2019/7/10,小時風向值 WD_HR (degrees),150,150,151,142,147,146,146,145,155,152,136,186,154,141,146,144,150,164,176,138,147,142,123,127
6,嘉義縣,新港鄉,新港,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),23,17,16,23,23,21,19,17,22,11,19,33,17,15,26,21,23,19,8,9,11,6,4,11
7,嘉義縣,新港鄉,新港,2019/7/10,一氧化碳 CO (ppm),0.12,0.12,0.12,0.1,0.14,0.13,0.17,0.2,0.16,0.16,0.17,0.15,0.15,0.19,0.21,0.17,0.21,0.17,0.15,0.18,0.13,0.14,0.12,0.19
8,嘉義縣,新港鄉,新港,2019/7/10,相對濕度 RH (percent),83,86,88,85,85,83,83,79,78,81,72,71,87,83,79,77,79,85,92,92,91,91,90,90
9,嘉義縣,新港鄉,新港,2019/7/10,風向 WIND_DIREC (degrees),147,144,137,147,150,146,141,152,156,144,149,232,150,130,162,141,157,149,170,140,147,117,112,173
10,嘉義縣,新港鄉,新港,2019/7/10,臭氧 O3 (ppb),18,18,17,17,14,17,14,15,23,22,24,32,23,20,24,24,22,23,23,17,20,21,20,13
11,嘉義縣,新港鄉,新港,2019/7/10,溫度 AMB_TEMP (℃),28.1,27.5,27.1,27.5,27.6,27.7,27.9,28.9,29.8,29.3,31.1,31.9,27.7,28.5,29.7,30,29.6,28.3,26.9,26.6,26.3,26.2,26.2,26.5
12,嘉義縣,新港鄉,新港,2019/7/10,二氧化硫 SO2 (ppb),2.3,1.4,1.7,1.6,1.9,1.8,1.8,1.9,1.4,1.4,2,1.4,1.3,1.9,2.3,1.7,1.6,1.3,1.2,1.7,1.4,1.6,2.7,6.9
