序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,基隆市,信義區,基隆,2019/7/10,二氧化硫 SO2 (ppb),2.3,1.8,1.5,1.2,1.2,1.2,1.4,1.7,2.9,1.6,1.7,1.9,2.3,1.7,1.3,1.5,1.5,1.6,1.4,1.5,1.2,1.1,1,0.9
2,基隆市,信義區,基隆,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.1,0.11,0.11,0.13,0.14,0.15,0.17,0.13,0.21,0.22,0.11,0.09,0.05,0.05,0.03,0.03,0.11,0.11,0.1,0.09,0.1,0.09,0.09,0.06
3,基隆市,信義區,基隆,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),11,11,10,9,12,14,14,8,17,10,21,15,12,16,11,11,14,12,14,17,16,16,15,14
4,基隆市,信義區,基隆,2019/7/10,相對濕度 RH (percent),90,91,89,87,87,87,81,68,64,57,57,61,60,65,66,64,70,68,69,73,80,84,86,88
5,基隆市,信義區,基隆,2019/7/10,一氧化碳 CO (ppm),0.28,0.26,0.28,0.26,0.28,0.34,0.41,0.38,0.41,0.3,0.3,0.23,0.17,0.15,0.13,0.14,0.19,0.25,0.29,0.28,0.32,0.29,0.28,0.2
6,基隆市,信義區,基隆,2019/7/10,臭氧 O3 (ppb),2.4,2.5,3.8,2.5,2.1,2.4,4.9,12,21,36,55,59,52,36,32,36,31,31,27,24,17,14,12,13
7,基隆市,信義區,基隆,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
8,基隆市,信義區,基隆,2019/7/10,氮氧化物 NOx (ppb),17,14,12,11,13,14,19,20,24,12,11,8.7,5.4,5,4.2,4.1,6.5,7.6,9.3,9.4,12,12,12,9.6
9,基隆市,信義區,基隆,2019/7/10,風速 WIND_SPEED (m/sec),0.7,0.5,0.6,0.9,0.6,0.6,0.6,2.3,2.1,1.9,2.4,3.2,2.5,2.9,2.8,2.1,0.9,0.6,0.7,0.5,0.6,0.8,0.9,0.8
10,基隆市,信義區,基隆,2019/7/10,溫度 AMB_TEMP (℃),26.7,26.4,26.4,26.5,26.4,26.5,27.8,30.2,31.6,32.8,33.4,33.1,32.8,32.3,32.1,32.1,31.3,31.2,31,30.6,29.4,28.9,28.5,28
11,基隆市,信義區,基隆,2019/7/10,風向 WIND_DIREC (degrees),285,347,297,92,142,81,134,266,237,228,75,97,81,91,79,76,101,77,132,24,252,260,261,283
12,基隆市,信義區,基隆,2019/7/10,總碳氫化合物 THC (ppm),1.8,1.9,2.2,2.3,2.4,2.3,2.5,1.9,2,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.8,1.8,1.7,1.8
13,基隆市,信義區,基隆,2019/7/10,小時風速值 WS_HR (m/sec),0.8,0.5,0.3,0.2,0.2,0.2,0.4,1.2,1.7,1.7,0.4,2.3,2.6,1.8,2.3,2.5,1.6,0.5,0.3,0.3,0.2,0.5,0.6,0.8
14,基隆市,信義區,基隆,2019/7/10,小時風向值 WD_HR (degrees),274,288,292,63,71,69,89,235,253,235,158,81,79,88,79,77,80,96,121,90,260,271,271,279
15,基隆市,信義區,基隆,2019/7/10,一氧化氮 NO (ppb),2.8,2.1,1.3,1.2,2.8,4.7,9.1,8.9,7.9,2.9,2.1,1.5,1.6,1.6,1.4,1.5,1.4,1.8,1.6,1.5,1.9,2.1,2.2,1.7
16,基隆市,信義區,基隆,2019/7/10,二氧化氮 NO2 (ppb),14,12,11,9.6,10,9.7,9.6,11,16,8.7,9.3,7.2,3.8,3.4,2.8,2.7,5.2,5.8,7.7,8,11,9.5,10,7.9
17,基隆市,信義區,基隆,2019/7/10,甲烷 CH4 (ppm),1.7,1.8,2.1,2.2,2.2,2.1,2.3,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.8,1.7,1.7,1.7,1.7
