序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,宜蘭縣,冬山鄉,冬山,2019/7/10,二氧化硫 SO2 (ppb),2.1,1.8,2.3,2,2,1.9,2.6,3.1,2.7,x,3.7,2.7,3.4,3.4,2.8,2.5,2.6,2.8,2.4,2.2,2.1,2,1.9,2.2
2,宜蘭縣,冬山鄉,冬山,2019/7/10,風速 WIND_SPEED (m/sec),0.6,1.4,1,0.6,1.1,0.8,0.7,1.1,1.7,2.5,3.1,2.7,3.6,2.9,2.5,2,2,1.3,1,1.1,1.3,1.2,2.1,1.9
3,宜蘭縣,冬山鄉,冬山,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),41,43,43,42,45,43,46,48,36,38,x,29,30,32,34,42,34,36,36,39,36,38,36,34
4,宜蘭縣,冬山鄉,冬山,2019/7/10,小時風向值 WD_HR (degrees),225,246,207,284,297,216,294,315,358,28,66,71,83,65,61,51,60,73,37,213,252,273,285,293
5,宜蘭縣,冬山鄉,冬山,2019/7/10,相對濕度 RH (percent),83,83,85,86,88,88,85,75,62,58,54,54,53,52,56,58,61,65,67,71,73,72,74,76
6,宜蘭縣,冬山鄉,冬山,2019/7/10,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,宜蘭縣,冬山鄉,冬山,2019/7/10,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,宜蘭縣,冬山鄉,冬山,2019/7/10,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,宜蘭縣,冬山鄉,冬山,2019/7/10,小時風速值 WS_HR (m/sec),0.6,0.7,0.9,0.7,0.5,0.1,0.5,1.1,1.5,1.9,2.3,2.5,2.9,2.9,2.4,1.8,1.8,1.5,1.3,0.9,1.3,1.2,1.7,1.8
10,宜蘭縣,冬山鄉,冬山,2019/7/10,臭氧 O3 (ppb),10,8.5,4.1,2.9,1.6,3.5,5.3,11,29,41,x,45,40,45,37,33,31,28,25,19,19,22,23,21
11,宜蘭縣,冬山鄉,冬山,2019/7/10,風向 WIND_DIREC (degrees),186,259,228,286,281,6.3,300,278,4.1,27,59,65,86,63,72,26,48,88,69,231,271,270,290,294
12,宜蘭縣,冬山鄉,冬山,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),11,9,12,12,9,13,14,15,15,17,x,30,30,30,24,19,17,12,8,10,12,7,6,6
13,宜蘭縣,冬山鄉,冬山,2019/7/10,溫度 AMB_TEMP (℃),28,27.5,27.2,26.8,26.6,26.5,27.5,29.6,31.8,33,33.8,34,34,34.1,33.2,32.7,32.2,31.7,31.3,30.5,30.1,30.2,29.7,29.1
14,宜蘭縣,冬山鄉,冬山,2019/7/10,一氧化碳 CO (ppm),0.18,0.19,0.29,0.25,0.29,0.32,0.38,0.45,0.27,x,0.2,0.2,0.29,0.26,0.17,0.16,0.19,0.22,0.19,0.16,0.18,0.18,0.16,0.15
15,宜蘭縣,冬山鄉,冬山,2019/7/10,氮氧化物 NOx (ppb),5.7,7.1,19,16,18,15,21,22,13,x,x,x,8.5,7.6,8.3,9.5,9.1,11,8.4,7.3,6.8,5,3.6,2.9
16,宜蘭縣,冬山鄉,冬山,2019/7/10,二氧化氮 NO2 (ppb),5.6,6.6,13,12,13,11,10,12,9.5,x,x,x,6.1,5.5,5.8,6.9,6.5,8.3,6.5,6.6,6.1,4.5,3.4,2.8
17,宜蘭縣,冬山鄉,冬山,2019/7/10,一氧化氮 NO (ppb),0,0.5,5.8,4.4,4.4,4,11,10,3.5,x,x,x,2.3,2.1,2.5,2.6,2.7,2.2,2,0.7,0.7,0.5,0.2,0.1
18,宜蘭縣,宜蘭市,宜蘭,2019/7/10,二氧化氮 NO2 (ppb),5.4,3.8,4.6,4,4.9,4.6,4,3.8,5.2,4.6,4.5,4.3,3.8,x,2.5,2.6,3.7,4.2,4.7,4.2,4.7,5.1,5.7,4.3
19,宜蘭縣,宜蘭市,宜蘭,2019/7/10,一氧化氮 NO (ppb),0.6,0.2,0.2,0.4,0.2,0.4,0.8,1.4,1.6,0.9,0.9,0.9,0.7,x,0.5,0.6,0.9,0.6,0.6,0.4,0.3,0.4,0.4,0.4
20,宜蘭縣,宜蘭市,宜蘭,2019/7/10,小時風向值 WD_HR (degrees),287,339,272,253,278,320,333,187,50,89,103,98,107,100,86,106,101,83,81,59,327,305,318,317
21,宜蘭縣,宜蘭市,宜蘭,2019/7/10,小時風速值 WS_HR (m/sec),0.2,0.9,0.4,0.4,0.4,0.9,0.6,0.5,0.1,1.3,2.1,2.1,2.2,2.2,1.6,1.9,1.5,1.6,1.1,0.7,1.3,1.5,1.3,1.3
22,宜蘭縣,宜蘭市,宜蘭,2019/7/10,風向 WIND_DIREC (degrees),193,354,276,317,291,307,251,170,8.9,97,93,102,108,74,99,90,101,78,107,350,316,314,307,304
23,宜蘭縣,宜蘭市,宜蘭,2019/7/10,溫度 AMB_TEMP (℃),28,27.4,27.4,26.9,26.7,26.7,27.7,28.9,31.2,33.1,34,33.9,33.9,33.1,33.1,32.5,32.1,31.5,31.1,30.9,30.4,30.1,29.7,29.3
24,宜蘭縣,宜蘭市,宜蘭,2019/7/10,氮氧化物 NOx (ppb),6,4,4.8,4.3,5.1,5.1,4.8,5.2,6.8,5.6,5.3,5.2,4.5,x,3,3.3,4.6,4.8,5.2,4.6,5.1,5.6,6.2,4.7
25,宜蘭縣,宜蘭市,宜蘭,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),22,25,23,25,23,23,24,23,30,24,33,23,23,25,x,x,x,x,x,x,x,x,x,x
26,宜蘭縣,宜蘭市,宜蘭,2019/7/10,臭氧 O3 (ppb),13,12,13,11,11,13,16,21,34,46,52,49,46,x,38,37,35,34,31,28,23,22,21,23
27,宜蘭縣,宜蘭市,宜蘭,2019/7/10,一氧化碳 CO (ppm),0.17,0.14,0.15,0.14,0.14,0.17,0.21,0.23,0.28,0.22,0.26,0.23,0.24,x,0.2,0.18,0.2,0.23,0.26,0.24,0.2,0.2,0.18,0.15
28,宜蘭縣,宜蘭市,宜蘭,2019/7/10,相對濕度 RH (percent),77,79,79,82,82,81,78,74,67,60,58,59,58,60,60,62,64,67,68,70,74,74,75,75
29,宜蘭縣,宜蘭市,宜蘭,2019/7/10,二氧化碳 CO2 (ppm),433,436,435,445,442,439,432,425,416,411,411,411,410,x,x,410,410,410,410,409,422,425,428,426
30,宜蘭縣,宜蘭市,宜蘭,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),19,17,13,11,14,19,16,14,16,16,19,19,17,16,x,19,16,14,14,12,12,15,16,13
31,宜蘭縣,宜蘭市,宜蘭,2019/7/10,二氧化硫 SO2 (ppb),2.3,2.2,2.7,2.8,4.6,2.9,2.5,2.9,2.5,3,3.7,5.4,3.4,x,2.6,2.7,2.6,2.7,2.3,2.2,2.1,2.1,2.4,2.3
32,宜蘭縣,宜蘭市,宜蘭,2019/7/10,風速 WIND_SPEED (m/sec),0.9,0.7,0.7,0.9,0.6,0.8,0.8,1.2,1.7,2,2.6,2.6,2.6,2.4,2.5,1.8,1.7,1.7,1.9,1.4,1.4,1.4,1.5,1.5
