序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,屏東縣,屏東市,屏東,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2,屏東縣,屏東市,屏東,2019/7/10,小時風速值 WS_HR (m/sec),0.1,0.9,0.5,1,0.7,0.9,0.8,0.9,0.3,1.2,2.2,2.2,1.8,1.6,1.7,1.6,1.7,1.4,0.9,1.2,1.5,1.8,2.8,2.1
3,屏東縣,屏東市,屏東,2019/7/10,總碳氫化合物 THC (ppm),2.3,2.2,2,1.9,2,2,2.3,2.3,2,2,1.8,1.8,1.8,1.8,1.9,1.9,2,2,2,2,1.9,1.8,1.7,1.8
4,屏東縣,屏東市,屏東,2019/7/10,相對濕度 RH (percent),94,94,95,95,95,95,96,95,94,91,84,84,86,85,88,89,92,92,94,95,95,94,94,96
5,屏東縣,屏東市,屏東,2019/7/10,風向 WIND_DIREC (degrees),88,116,115,46,33,332,49,99,121,225,204,177,249,356,76,32,24,346,77,97,89,9.7,350,43
6,屏東縣,屏東市,屏東,2019/7/10,溫度 AMB_TEMP (℃),26.9,26.8,26.8,26.7,26.6,26.5,26.7,27.5,28.2,29.6,30.8,30.2,29.5,29.6,28.5,28.2,28,27.7,27.2,26.7,26.1,26.2,25.9,25
7,屏東縣,屏東市,屏東,2019/7/10,風速 WIND_SPEED (m/sec),0.7,1.1,0.9,1.2,0.9,1.3,1.2,1.2,0.4,2.7,2.9,2.8,2,1.6,2,1.9,2.7,3.2,1,2.2,1.4,2.7,3.5,2.2
8,屏東縣,屏東市,屏東,2019/7/10,二氧化硫 SO2 (ppb),1.9,1.3,1.4,1.2,1.1,1.2,1.4,1.6,1.8,2.8,3.6,2.7,1.6,1.9,1.9,1.5,1.6,1.5,1.5,1.5,1.4,1.3,0.8,0.6
9,屏東縣,屏東市,屏東,2019/7/10,氮氧化物 NOx (ppb),10,7.1,6.6,5.8,6,7.4,9.8,15,20,23,15,13,12,11,14,15,17,16,18,16,12,10,5,4.3
10,屏東縣,屏東市,屏東,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),4,12,7,3,1,4,10,11,18,13,16,10,11,3,7,9,16,20,18,19,8,2,1,4
11,屏東縣,屏東市,屏東,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.1,0.07,0.05,0.03,0.03,0.05,0.09,0.18,0.19,0.2,0.12,0.09,0.09,0.06,0.12,0.13,0.15,0.15,0.19,0.13,0.07,0.06,0.01,0.02
12,屏東縣,屏東市,屏東,2019/7/10,甲烷 CH4 (ppm),2.2,2.1,1.9,1.9,1.9,2,2.2,2.1,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.8
13,屏東縣,屏東市,屏東,2019/7/10,臭氧 O3 (ppb),9.8,15,17,19,18,16,14,15,19,27,26,27,28,27,23,22,19,19,16,18,20,21,27,27
14,屏東縣,屏東市,屏東,2019/7/10,小時風向值 WD_HR (degrees),77,93,82,21,47,3.1,26,70,133,214,211,201,247,262,44,52,12,27,83,53,64,0,348,25
