序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,彰化縣,二林鎮,二林,2019/7/10,二氧化氮 NO2 (ppb),3.3,2.7,2.2,1.7,2.2,2.4,3.2,2.3,2.2,1.8,2,2,1.9,1.9,3.2,3.1,3.1,3.3,2.7,3.1,3.3,4.1,3.3,3.9
2,彰化縣,二林鎮,二林,2019/7/10,溫度 AMB_TEMP (℃),28,28.2,27.8,27.3,27.5,27.8,28.5,30,31.4,29.1,30.6,30.1,29.9,29.6,29.8,30.7,30.4,29.1,27.3,27.1,26.9,26.6,26.8,26.7
3,彰化縣,二林鎮,二林,2019/7/10,風速 WIND_SPEED (m/sec),3.1,3.4,3.6,3.5,3.7,3.2,4.2,5.2,5.4,4.2,5.5,3.9,5.1,5.1,4.1,4.5,3.8,3.9,3.2,3.4,3,4,2.8,2.3
4,彰化縣,二林鎮,二林,2019/7/10,氮氧化物 NOx (ppb),5.2,3.7,3.4,2.8,3.4,3.6,4.9,4.3,4.1,3.3,3.8,3.6,3.6,3.4,4.9,4.7,4.6,4.8,3.8,4.2,4.3,5.3,4.6,5.3
5,彰化縣,二林鎮,二林,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),14,10,15,9,13,10,16,10,9,5,8,7,6,8,12,13,13,16,13,15,7,12,8,10
6,彰化縣,二林鎮,二林,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
7,彰化縣,二林鎮,二林,2019/7/10,臭氧 O3 (ppb),16,18,19,20,18,18,18,20,24,25,27,27,29,27,28,30,28,25,24,23,22,19,20,17
8,彰化縣,二林鎮,二林,2019/7/10,風向 WIND_DIREC (degrees),183,198,178,177,178,200,180,182,190,196,188,198,191,183,175,188,199,214,196,170,157,174,155,146
9,彰化縣,二林鎮,二林,2019/7/10,相對濕度 RH (percent),83,82,84,86,87,85,82,76,72,82,79,79,81,81,81,78,77,81,90,91,91,91,90,90
10,彰化縣,二林鎮,二林,2019/7/10,小時風速值 WS_HR (m/sec),3,3.5,3.5,3.2,3.4,3,3.4,4.9,5,4.6,4.6,4.3,3.9,4.5,4.5,4.3,3.9,3.6,3.4,3.3,3.6,3.1,3.7,2.4
11,彰化縣,二林鎮,二林,2019/7/10,小時風向值 WD_HR (degrees),186,189,189,177,178,194,189,177,184,192,192,188,222,188,175,188,190,233,187,180,167,163,166,153
12,彰化縣,二林鎮,二林,2019/7/10,一氧化碳 CO (ppm),0.11,0.1,0.1,0.1,0.1,0.11,0.12,0.12,0.12,0.12,0.12,0.12,x,0.12,0.14,0.13,0.13,0.14,0.12,0.12,0.12,0.14,0.13,0.13
13,彰化縣,二林鎮,二林,2019/7/10,一氧化氮 NO (ppb),1.9,1.1,1.2,1.1,1.3,1.2,1.7,2,1.9,1.5,1.8,1.5,1.7,1.6,1.7,1.6,1.5,1.5,1.1,1.1,1,1.2,1.3,1.4
14,彰化縣,二林鎮,二林,2019/7/10,二氧化硫 SO2 (ppb),1.2,2.1,2.4,2.5,2.2,2.4,2.7,2.5,2.6,2.3,2.3,2.4,2.3,2.4,2.4,2.5,2.4,2.6,2.4,2.4,2.3,2.4,2.3,2.3
15,彰化縣,彰化市,彰化,2019/7/10,溫度 AMB_TEMP (℃),28.5,28.4,28.4,28.2,28,27.9,28.4,29.6,31.3,30.5,29.7,31.5,31.5,29.1,29.5,30.7,30.6,29.7,27.5,26.8,26.5,26.5,27,27.2
16,彰化縣,彰化市,彰化,2019/7/10,臭氧 O3 (ppb),15,16,17,19,19,16,15,18,24,26,24,27,30,26,26,27,27,21,19,19,20,19,16,15
17,彰化縣,彰化市,彰化,2019/7/10,風速 WIND_SPEED (m/sec),2.7,2.9,3.1,3.8,2.4,2.4,2.9,3.7,4.5,3.1,3.9,3,6.3,3.9,4.2,4.1,2.1,1.9,2.3,2.6,2.6,2.2,1.7,1.4
18,彰化縣,彰化市,彰化,2019/7/10,總碳氫化合物 THC (ppm),1.9,1.9,1.9,1.8,1.9,1.9,1.9,1.9,1.8,1.8,1.9,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2,1.9
19,彰化縣,彰化市,彰化,2019/7/10,甲烷 CH4 (ppm),1.9,1.9,1.9,1.8,1.8,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
20,彰化縣,彰化市,彰化,2019/7/10,小時風速值 WS_HR (m/sec),2.9,2.6,2.4,3.1,2.7,2.4,2.6,3.5,4.6,4.4,3.2,3.5,3.7,4.2,3.5,4,3.4,1.6,1.7,2.7,2.8,2,2.1,1.5
