序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,新竹市,東區,新竹,2019/7/10,二氧化硫 SO2 (ppb),2.1,1.4,1.6,1.6,1.6,1.5,1.6,1.7,1.7,1.7,1.6,x,1.7,1.6,x,x,1.6,1.7,1.6,1.7,2,2.2,2,1.9
2,新竹市,東區,新竹,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.05,0.05,0.07,x,x,x,0.06,0.08,0.07,0.07,0.06,0.07,0.1,0.09,0.07,0.03
3,新竹市,東區,新竹,2019/7/10,甲苯 TOLUENE (ppb),2.4,,5.4,2.6,2.4,0.7,0.7,0.6,1,1.1,2.7,2.4,2.3,2.2,5.6,1.5,5.7,4.3,1.8,9.2,2.1,2,1.8,8.1
4,新竹市,東區,新竹,2019/7/10,乙苯 ETHYLBENZENE (ppb),0,,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1
5,新竹市,東區,新竹,2019/7/10,間、對二甲苯 M_P_XYLENES (ppb),0.1,,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.4,0.3
6,新竹市,東區,新竹,2019/7/10,鄰二甲苯 O_XYLENE (ppb),0,,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1
7,新竹市,東區,新竹,2019/7/10,甲烷 CH4 (ppm),1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.7,1.7,x,x,x,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
8,新竹市,東區,新竹,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),5,5,5,7,9,9,7,8,10,9,7,x,12,13,13,10,8,11,11,8,5,4,4,3
9,新竹市,東區,新竹,2019/7/10,相對濕度 RH (percent),61,61,63,64,64,64,64,64,60,54,52,54,53,52,60,58,58,66,75,79,76,74,73,68
10,新竹市,東區,新竹,2019/7/10,一氧化碳 CO (ppm),0.13,0.09,0.09,0.1,0.09,0.09,0.12,0.15,0.18,0.19,0.2,x,0.21,0.2,x,x,0.22,0.27,0.27,0.31,0.31,0.3,0.23,0.15
11,新竹市,東區,新竹,2019/7/10,臭氧 O3 (ppb),20,21,21,21,20,20,20,20,22,24,30,x,x,x,13,24,22,22,21,16,14,13,14,17
12,新竹市,東區,新竹,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),21,27,23,23,23,25,29,30,38,52,45,x,38,x,x,37,41,45,27,24,25,20,20,18
13,新竹市,東區,新竹,2019/7/10,氮氧化物 NOx (ppb),3.1,2.8,2.7,2.8,3.1,3.5,4.1,4.9,6.5,8.6,8.4,x,7.7,8.3,x,x,x,9.6,7.2,10,11,11,8.1,5.2
14,新竹市,東區,新竹,2019/7/10,風速 WIND_SPEED (m/sec),3.4,4.1,3.4,3.6,4.5,4.3,3.6,5.1,2.7,2.7,4.8,x,x,5.8,3.3,3.3,5.5,6.2,3.3,1.9,2,3.8,1.7,1.5
15,新竹市,東區,新竹,2019/7/10,溫度 AMB_TEMP (℃),30.8,30.8,30.6,30.4,30.3,30.2,30.5,31.3,32.2,33.7,34.4,34.4,34.6,35,33.3,33.4,32.9,31.6,29.6,29,29.5,29.7,29.5,29.9
16,新竹市,東區,新竹,2019/7/10,風向 WIND_DIREC (degrees),242,244,244,241,246,246,240,243,203,237,243,x,x,249,214,198,252,252,244,214,190,254,231,215
17,新竹市,東區,新竹,2019/7/10,總碳氫化合物 THC (ppm),1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,x,x,x,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.7
18,新竹市,東區,新竹,2019/7/10,小時風速值 WS_HR (m/sec),3.1,2.2,2.1,2.4,2.5,3.3,2.9,3.8,3,1.6,2.6,x,x,2.8,2.6,1.8,3.1,4.1,3,2.5,1.5,2,1.3,1.3
19,新竹市,東區,新竹,2019/7/10,小時風向值 WD_HR (degrees),245,239,242,237,239,249,247,247,242,226,241,x,x,242,233,203,245,254,249,245,200,247,231,208
20,新竹市,東區,新竹,2019/7/10,一氧化氮 NO (ppb),0.1,0.8,0.8,0.8,0.7,0.9,1.2,1.8,2.4,3.2,2.7,x,2,2.3,x,x,x,1.9,1.2,1.2,1.8,1.6,1.2,1
21,新竹市,東區,新竹,2019/7/10,二氧化氮 NO2 (ppb),3,2,1.9,2,2.4,2.6,2.9,3.2,4.2,5.4,5.6,x,5.8,6,x,x,x,7.7,6,9.1,9.4,9.4,6.9,4.3
22,新竹市,東區,新竹,2019/7/10,苯 BENZENE (ppb),0,,0,0,0.2,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2
