序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,桃園市,中壢區,中壢,2019/7/10,一氧化氮 NO (ppb),2.1,1.9,1.6,2.9,8,13,42,46,20,23,18,23,18,17,21,29,29,42,30,22,21,16,23,6.6
2,桃園市,中壢區,中壢,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),17,16,17,16,14,15,22,25,21,24,26,27,x,29,35,28,24,29,31,21,18,16,20,17
3,桃園市,中壢區,中壢,2019/7/10,溫度 AMB_TEMP (℃),30.2,29.7,29.2,29.6,28.8,28.5,28.8,30.3,31.7,33.1,34.4,34.6,34.5,35,34.6,33.9,33.1,32.5,30.7,30.2,29.3,29,28.9,29.2
4,桃園市,中壢區,中壢,2019/7/10,二氧化硫 SO2 (ppb),1.4,1.1,1.1,1.3,1.2,1.3,1.8,1.7,1,1.4,1.3,1.5,1.3,1.3,1.4,1.4,1.6,2.1,1.8,1.9,1.7,1.9,1.4,1.6
5,桃園市,中壢區,中壢,2019/7/10,氮氧化物 NOx (ppb),11,8.5,7.4,8.7,17,25,57,66,34,41,34,45,36,32,41,49,51,69,53,41,38,32,39,16
6,桃園市,中壢區,中壢,2019/7/10,風向 WIND_DIREC (degrees),180,186,171,180,200,193,183,208,183,211,201,185,204,202,188,178,200,159,211,182,213,194,178,178
7,桃園市,中壢區,中壢,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),10,13,13,10,8,14,23,22,14,13,11,20,21,28,19,23,21,28,24,23,21,11,8,2
8,桃園市,中壢區,中壢,2019/7/10,相對濕度 RH (percent),64,66,68,67,69,70,68,67,64,59,53,53,54,53,56,56,59,61,72,74,78,79,79,75
9,桃園市,中壢區,中壢,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.06,0.08,0.06,0.06,0.11,0.21,0.32,0.54,0.23,0.22,0.2,0.27,0.21,0.18,0.22,0.26,0.3,0.49,0.4,0.31,0.23,0.23,0.28,0.11
10,桃園市,中壢區,中壢,2019/7/10,小時風向值 WD_HR (degrees),191,187,185,177,185,196,191,202,192,199,201,190,197,205,193,181,194,181,197,200,194,208,194,196
11,桃園市,中壢區,中壢,2019/7/10,一氧化碳 CO (ppm),0.27,0.21,0.19,0.18,0.31,0.49,0.99,1.77,0.85,0.79,0.65,0.82,0.78,0.58,0.68,0.89,0.99,1.61,1.29,1.06,0.8,0.81,0.94,0.42
12,桃園市,中壢區,中壢,2019/7/10,二氧化氮 NO2 (ppb),8.5,6.5,5.8,5.8,8.8,11,15,20,14,17,16,22,19,15,20,21,21,26,23,20,17,16,16,9.5
