序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,澎湖縣,馬公市,馬公,2019/7/10,二氧化硫 SO2 (ppb),1.4,1.6,1.6,1.2,1.2,1,1.3,1.4,1.7,1.7,1.9,1.9,2,1.6,x,1.5,1.5,1.4,1.7,1.8,1.8,1.7,1.6,1.6
2,澎湖縣,馬公市,馬公,2019/7/10,二氧化氮 NO2 (ppb),1.4,1.6,1.3,1,1,1.9,4.6,4.5,4.8,3.3,3.2,4.7,4.5,6,x,5.2,7.4,5.7,4.6,4.9,4.1,4.8,3.1,2.2
3,澎湖縣,馬公市,馬公,2019/7/10,相對濕度 RH (percent),81,82,83,83,83,83,82,78,73,71,70,68,69,70,79,77,76,77,79,81,80,81,80,80
4,澎湖縣,馬公市,馬公,2019/7/10,一氧化碳 CO (ppm),0.1,0.1,0.09,0.09,0.1,0.11,0.14,0.16,0.19,0.18,0.18,0.2,0.2,0.18,x,0.16,0.18,0.25,0.19,0.22,0.17,0.22,0.18,0.13
5,澎湖縣,馬公市,馬公,2019/7/10,臭氧 O3 (ppb),23,22,24,24,24,23,21,23,23,27,28,31,31,27,x,35,28,34,31,29,28,26,27,27
6,澎湖縣,馬公市,馬公,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),29,21,29,17,24,22,26,31,38,32,27,x,x,x,x,18,20,10,6,6,3,2,5,2
7,澎湖縣,馬公市,馬公,2019/7/10,氮氧化物 NOx (ppb),5.7,5.9,5.1,4.9,4.9,5.8,9.1,9.7,11,8.7,8.3,10,10,12,x,9.7,12,10,8.9,9.1,8.2,9,7.1,6
8,澎湖縣,馬公市,馬公,2019/7/10,風速 WIND_SPEED (m/sec),2.3,2.4,2.6,2.7,2.6,2.6,2.9,2.7,2.5,3.1,2.9,3.1,3.5,2.4,2.5,1.7,1.8,1.8,1.4,1.6,1.4,2.2,2.3,3.1
9,澎湖縣,馬公市,馬公,2019/7/10,溫度 AMB_TEMP (℃),28.2,28.3,28.1,27.9,27.8,27.7,28.2,29.4,30.8,31.4,31.7,32,32,31.6,29.4,28.8,28.9,28,27.5,27.1,26.9,27.1,27.2,27.4
10,澎湖縣,馬公市,馬公,2019/7/10,風向 WIND_DIREC (degrees),176,185,180,178,180,177,171,175,173,182,180,180,177,203,220,218,186,201,184,181,197,166,157,160
11,澎湖縣,馬公市,馬公,2019/7/10,小時風速值 WS_HR (m/sec),2.5,2.3,2.1,2.2,2.1,2.4,2.5,2.7,2.4,2.5,2.3,2.2,2.8,2.3,1.6,1.3,1.1,1.3,1,1.2,1,1.4,2.3,2.5
12,澎湖縣,馬公市,馬公,2019/7/10,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
13,澎湖縣,馬公市,馬公,2019/7/10,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0
14,澎湖縣,馬公市,馬公,2019/7/10,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0
15,澎湖縣,馬公市,馬公,2019/7/10,小時風向值 WD_HR (degrees),177,180,181,181,179,176,174,174,173,178,181,182,178,185,215,218,192,185,187,184,196,177,163,156
16,澎湖縣,馬公市,馬公,2019/7/10,一氧化氮 NO (ppb),4.3,4.3,3.8,3.9,3.8,3.9,4.4,5.2,6.1,5.4,5.1,5.4,5.6,5.8,x,4.5,4.8,4.6,4.3,4.2,4.2,4.2,3.9,3.8
17,澎湖縣,馬公市,馬公,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),7,6,5,6,8,9,11,12,11,14,15,x,x,x,27,16,4,1,1,2,1,1,1,1
