序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,花蓮縣,花蓮市,花蓮,2019/7/10,二氧化硫 SO2 (ppb),1.7,1,0.9,1.2,1.2,1.2,1.2,1.5,1.8,3.6,1.4,1.2,2.1,2,2.2,2.2,2,2,1.8,2.9,3,2.3,2.2,2.1
2,花蓮縣,花蓮市,花蓮,2019/7/10,二氧化氮 NO2 (ppb),3.1,3.2,3.5,5.5,4.6,4.1,3.9,4.7,9.2,9.9,6.1,4.7,4.4,5.2,4,4.2,5.1,6.6,6.9,14,17,8.3,7.1,5.6
3,花蓮縣,花蓮市,花蓮,2019/7/10,相對濕度 RH (percent),71,71,71,74,73,72,72,68,61,59,61,62,55,53,52,53,55,56,60,65,66,67,68,70
4,花蓮縣,花蓮市,花蓮,2019/7/10,一氧化碳 CO (ppm),0.13,0.11,0.11,0.13,0.12,0.13,0.16,0.19,0.2,0.18,0.16,0.16,0.2,0.2,0.18,0.18,0.2,0.24,0.23,0.28,0.37,0.26,0.2,0.17
5,花蓮縣,花蓮市,花蓮,2019/7/10,臭氧 O3 (ppb),15,13,11,11,11,9.5,11,14,18,23,29,32,43,48,43,38,36,27,24,15,14,24,24,22
6,花蓮縣,花蓮市,花蓮,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),16,15,16,21,19,13,22,21,24,31,29,x,x,x,x,x,x,x,x,x,x,x,x,x
7,花蓮縣,花蓮市,花蓮,2019/7/10,氮氧化物 NOx (ppb),3.5,3.8,3.8,5.9,5.4,5.2,5.1,7.2,14,14,8.6,6,5.6,6.4,4.4,5,5.8,8.1,7.9,15,18,8.7,7.5,6.2
8,花蓮縣,花蓮市,花蓮,2019/7/10,風速 WIND_SPEED (m/sec),1.5,0.7,1,1,1.4,1.9,2,1.1,1.5,3.1,3.3,3.2,4.5,3.6,3.4,2.3,2.9,2.3,2.5,1.3,2.2,2.6,2.8,4
9,花蓮縣,花蓮市,花蓮,2019/7/10,溫度 AMB_TEMP (℃),28,27.4,27.2,27.3,26.8,26.4,27.2,29.1,30.8,31.9,32.1,31.5,32.9,33.3,33.2,32.9,31.7,31.4,31,30.4,30.1,29.4,29.3,28.8
10,花蓮縣,花蓮市,花蓮,2019/7/10,風向 WIND_DIREC (degrees),243,243,250,238,250,236,226,263,198,92,105,104,96,89,65,38,41,35,25,348,237,237,229,225
11,花蓮縣,花蓮市,花蓮,2019/7/10,小時風速值 WS_HR (m/sec),1.5,0.8,0.9,0.7,1.3,1.2,2,1.4,1,2.4,2.7,3.1,3.8,3.5,2.2,2.5,2.2,2.2,2.2,1.6,1,2.4,2.8,2.9
12,花蓮縣,花蓮市,花蓮,2019/7/10,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,花蓮縣,花蓮市,花蓮,2019/7/10,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,花蓮縣,花蓮市,花蓮,2019/7/10,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,花蓮縣,花蓮市,花蓮,2019/7/10,小時風向值 WD_HR (degrees),231,233,242,244,243,232,229,226,222,105,97,104,95,97,57,60,45,33,36,1.1,283,239,228,218
16,花蓮縣,花蓮市,花蓮,2019/7/10,一氧化氮 NO (ppb),0.4,0.6,0.3,0.4,0.9,1.1,1.2,2.6,5,4.3,2.5,1.4,1.2,1.2,0.3,0.8,0.7,1.6,1,1.4,1.5,0.3,0.4,0.7
17,花蓮縣,花蓮市,花蓮,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),8,11,10,8,5,9,12,11,13,19,12,5,6,8,7,6,6,5,7,3,9,20,20,20
