序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,苗栗縣,三義鄉,三義,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),8,9,9,7,3,5,8,10,8,8,6,5,7,6,7,10,11,10,9,8,6,5,5,1
2,苗栗縣,三義鄉,三義,2019/7/10,風向 WIND_DIREC (degrees),186,188,189,191,188,190,188,190,188,193,187,185,187,190,185,183,192,188,193,185,189,192,180,184
3,苗栗縣,三義鄉,三義,2019/7/10,氮氧化物 NOx (ppb),1,2,2,1.7,1.6,1.9,2.5,2.4,2.1,3.1,4.5,5,4.6,4,2.8,2.3,2.8,5.3,9.9,11,4.8,2.9,2.4,1.9
4,苗栗縣,三義鄉,三義,2019/7/10,二氧化氮 NO2 (ppb),0,0.5,0.6,0.5,0.5,0.6,0.7,0.7,0.9,1.5,2.7,3,2.7,2.5,1.3,0.9,1.1,3.5,8.3,9.8,3.7,1.7,1,0.6
5,苗栗縣,三義鄉,三義,2019/7/10,溫度 AMB_TEMP (℃),26.5,26.4,26.2,26,25.8,25.9,26.2,26.9,27.7,28.9,28.6,29.4,29.3,27.4,26.9,27.6,27.6,27.2,25.6,24.9,24.6,24.5,24.7,25
6,苗栗縣,三義鄉,三義,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
7,苗栗縣,三義鄉,三義,2019/7/10,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,2.5,0,0.5,0,0
8,苗栗縣,三義鄉,三義,2019/7/10,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,16,14,0,12,0,0
9,苗栗縣,三義鄉,三義,2019/7/10,一氧化氮 NO (ppb),1,1.5,1.4,1.2,1.1,1.3,1.8,1.6,1.3,1.6,1.8,2,1.9,1.5,1.5,1.4,1.7,1.8,1.6,1.5,1.1,1.2,1.4,1.3
10,苗栗縣,三義鄉,三義,2019/7/10,相對濕度 RH (percent),67,68,68,69,70,70,70,69,66,61,63,62,62,71,77,70,69,71,82,88,86,85,82,79
11,苗栗縣,三義鄉,三義,2019/7/10,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,6.5,6.3,0,6.3,0,0
12,苗栗縣,三義鄉,三義,2019/7/10,二氧化硫 SO2 (ppb),1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8,1.8,1.9,1.9,1.8,1.7,1.6,1.7,1.9,2.2,2,1.7,1.6,1.5,1.7
13,苗栗縣,三義鄉,三義,2019/7/10,一氧化碳 CO (ppm),0.09,0.08,0.08,0.08,0.08,0.08,0.09,0.09,x,0.11,0.12,0.13,0.12,0.12,0.1,0.11,0.12,0.15,0.16,0.19,0.14,0.11,0.09,0.1
14,苗栗縣,三義鄉,三義,2019/7/10,小時風速值 WS_HR (m/sec),6.2,6.3,5.8,5.6,5.4,5.7,6.1,6.8,6.9,6.7,6.5,7,6.4,7,6.1,6.8,5.6,5,3.7,4.4,4.3,4.3,4.4,4.2
15,苗栗縣,三義鄉,三義,2019/7/10,小時風向值 WD_HR (degrees),185,188,188,188,188,188,188,189,186,189,192,186,189,190,183,183,189,191,195,190,189,188,184,182
16,苗栗縣,三義鄉,三義,2019/7/10,臭氧 O3 (ppb),22,22,22,21,21,22,21,21,22,28,30,34,31,31,28,28,27,25,19,16,22,23,23,24
17,苗栗縣,三義鄉,三義,2019/7/10,風速 WIND_SPEED (m/sec),6.9,6.7,5.5,5,6,6,6.7,7.6,7.9,6.6,6.9,7.4,6.5,5.8,6.7,6.7,5.5,4.8,3.2,4.9,3.3,4.1,4.8,4.9
