序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,連江縣,南竿鄉,馬祖,2019/7/10,二氧化硫 SO2 (ppb),2.4,1.9,2.1,2.1,2.3,2.2,2.1,2.3,2,2.2,2.3,x,1.9,2.2,2.1,1.9,2.1,2,2,2,2,1.7,1.7,2.1
2,連江縣,南竿鄉,馬祖,2019/7/10,二氧化氮 NO2 (ppb),2.6,1.9,2.5,3.9,3.3,2.9,1.8,2,1.8,1.3,1.5,x,2.2,6.7,6.7,3.4,4.9,5.2,3.6,3.2,3.8,2.5,2.3,3.5
3,連江縣,南竿鄉,馬祖,2019/7/10,相對濕度 RH (percent),96,96,96,96,96,96,96,96,96,95,95,93,93,96,96,96,96,96,96,96,96,96,96,96
4,連江縣,南竿鄉,馬祖,2019/7/10,一氧化碳 CO (ppm),0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.06,x,0.05,0.06,x,0.09,0.1,0.12,0.13,0.12,0.17,0.18,0.17,0.19,0.16,0.14,0.15
5,連江縣,南竿鄉,馬祖,2019/7/10,臭氧 O3 (ppb),28,28,26,24,25,26,26,25,27,29,33,x,x,29,27,29,27,27,34,32,38,40,38,39
6,連江縣,南竿鄉,馬祖,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,31,12,10,9,14,10,14,16,15,11,18,13
7,連江縣,南竿鄉,馬祖,2019/7/10,氮氧化物 NOx (ppb),3.6,3.3,3.7,5,4.7,4.3,3.2,3.7,3.3,2.5,2.9,x,3.6,8.5,9.3,4.7,6.4,6.7,4.9,4.6,5.2,3.7,3.5,4.6
8,連江縣,南竿鄉,馬祖,2019/7/10,風速 WIND_SPEED (m/sec),7.2,6.1,7.4,7.7,8.3,6.9,5.5,6,5.6,6.1,x,6.8,4.3,2,2.8,2,0.6,0.7,0.8,1,0.7,0.6,0.6,1.1
9,連江縣,南竿鄉,馬祖,2019/7/10,溫度 AMB_TEMP (℃),26.6,26.6,26.5,26.5,26.5,26.5,26.5,26.7,26.8,26.8,27.2,27.4,26.4,24.5,24.9,25,24.6,24.7,24.6,24.5,24.4,24.2,24.3,24.3
10,連江縣,南竿鄉,馬祖,2019/7/10,風向 WIND_DIREC (degrees),181,182,180,181,180,184,188,205,181,180,x,185,330,209,317,336,121,26,46,338,358,105,275,321
11,連江縣,南竿鄉,馬祖,2019/7/10,小時風速值 WS_HR (m/sec),6.7,7.1,5.8,7,7.7,7.3,6,4.7,5.7,4.5,5.8,6.2,2.3,1.5,1.4,1.4,0.7,0.4,0.3,0.3,0.4,0.3,0.4,0.4
12,連江縣,南竿鄉,馬祖,2019/7/10,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,6.3,5.4,0,0,5.2,0,0,0,0,0,0,0
13,連江縣,南竿鄉,馬祖,2019/7/10,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,25,20,0,0,25,0,0,0,0,0,0,0
14,連江縣,南竿鄉,馬祖,2019/7/10,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,5.5,37,0,0,1,0,0,0,0,0,0,0
15,連江縣,南竿鄉,馬祖,2019/7/10,小時風向值 WD_HR (degrees),180,180,184,181,180,181,183,195,182,186,182,184,277,277,306,327,342,346,55,7,1.3,85,339,305
16,連江縣,南竿鄉,馬祖,2019/7/10,一氧化氮 NO (ppb),1,1.4,1.2,1.1,1.4,1.4,1.3,1.7,1.4,1.2,1.4,x,1.5,1.8,2.6,1.4,1.5,1.4,1.3,1.4,1.4,1.3,1.1,1.1
17,連江縣,南竿鄉,馬祖,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),11,15,15,14,11,x,11,13,13,8,8,x,14,9,5,6,1,1,1,2,4,4,3,1
