序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,金門縣,金城鎮,金門,2019/7/10,二氧化硫 SO2 (ppb),2.6,2.6,2.5,2.8,2.6,2.6,2.7,2.5,2.7,2.7,x,2.2,2.9,2.3,2.2,2.4,2.3,2.3,2.2,2.5,2.5,2.6,2.3,2.8
2,金門縣,金城鎮,金門,2019/7/10,二氧化氮 NO2 (ppb),6.4,6.2,6.1,5.2,7.4,6.2,6.3,6.9,6,6.7,x,4.4,8.8,4.6,4.3,4,5.4,4.4,3.8,6.5,6.6,8.4,6.1,8.2
3,金門縣,金城鎮,金門,2019/7/10,相對濕度 RH (percent),99,100,96,92,93,94,94,94,94,100,100,100,100,100,100,100,98,99,100,100,100,98,92,93
4,金門縣,金城鎮,金門,2019/7/10,一氧化碳 CO (ppm),0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,x,0.15,0.14,0.13,0.13,0.13,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.11
5,金門縣,金城鎮,金門,2019/7/10,臭氧 O3 (ppb),21,20,21,20,18,27,21,22,24,25,x,28,22,28,30,32,32,34,34,31,30,27,25,23
6,金門縣,金城鎮,金門,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,22,18,19,22,19,20,16,18,14,17,23,17,21
7,金門縣,金城鎮,金門,2019/7/10,氮氧化物 NOx (ppb),6.8,6.7,6.4,5.6,7.9,6.7,6.8,7.8,7.7,8.4,x,5.2,15,5.8,5.3,4.7,6.4,5.1,4.4,7,7.2,9.1,6.6,8.7
8,金門縣,金城鎮,金門,2019/7/10,風速 WIND_SPEED (m/sec),6.1,5.5,5.4,5.1,4.6,4.8,5.1,5.9,4.7,4.2,5.9,4.1,5.2,4.4,5.1,4.6,4.2,5,3.9,4.1,3,3.8,1.6,3.5
9,金門縣,金城鎮,金門,2019/7/10,溫度 AMB_TEMP (℃),27.6,27.5,27.4,27.4,27.3,27.2,27.3,27.3,27.9,28,27.6,26.6,26.8,26.6,26.7,26.7,26.8,26.5,26.2,26.3,26.3,26.3,26.3,26.4
10,金門縣,金城鎮,金門,2019/7/10,風向 WIND_DIREC (degrees),218,212,211,216,201,218,199,212,227,204,215,242,208,203,207,196,195,200,203,219,200,207,197,218
11,金門縣,金城鎮,金門,2019/7/10,小時風速值 WS_HR (m/sec),6.1,5.5,5,4.8,4.1,4.4,5,4.7,5.1,4.6,5.1,5.1,4.9,4.6,4.5,4.6,4.4,4.5,4.2,3.9,2.8,3.8,2.6,3.1
12,金門縣,金城鎮,金門,2019/7/10,酸雨 PH_RAIN (pH),0,0,0,0,5.6,0,5,4.3,0,x,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0
13,金門縣,金城鎮,金門,2019/7/10,導電度 RAIN_COND (μmho/cm),0,0,0,0,62,0,37,25,0,x,0,46,0,0,0,0,0,0,0,0,0,0,0,0
14,金門縣,金城鎮,金門,2019/7/10,降雨強度 RAIN_INT (㎜),0,0,0,0,1,0,1.5,12,0,x,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,金門縣,金城鎮,金門,2019/7/10,小時風向值 WD_HR (degrees),210,213,206,209,214,210,205,215,213,212,218,222,231,207,202,200,198,195,204,209,209,201,199,206
16,金門縣,金城鎮,金門,2019/7/10,一氧化氮 NO (ppb),0.4,0.5,0.3,0.4,0.5,0.5,0.5,0.9,1.7,1.7,x,0.8,5.9,1.2,1,0.7,1,0.7,0.6,0.5,0.6,0.7,0.5,0.5
17,金門縣,金城鎮,金門,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),14,14,10,10,9,5,8,9,8,11,x,1,2,5,6,6,4,3,4,4,3,5,4,5
