序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,雲林縣,崙背鄉,崙背,2019/7/10,二氧化硫 SO2 (ppb),2,2.9,2.1,1.6,1.5,2.1,1.7,1.6,1.7,1.5,1.6,1.5,x,1.7,2,1.8,2,1.4,1.5,1.5,1.3,2,1.5,1.5
2,雲林縣,崙背鄉,崙背,2019/7/10,一氧化氮 NO (ppb),0.1,0.6,0.6,0.7,0.5,0.9,0.9,1.2,1.6,1.5,1.9,1.7,x,1.5,1.7,1.6,1.8,1.2,0.8,0.8,0.4,0.4,0.6,0.3
3,雲林縣,崙背鄉,崙背,2019/7/10,小時風向值 WD_HR (degrees),172,173,169,165,167,171,166,166,175,179,174,176,182,164,166,171,173,189,171,155,158,165,146,146
4,雲林縣,崙背鄉,崙背,2019/7/10,降雨強度 RAIN_INT (㎜),0,0.5,0,1,0,0,0,0,2.5,1,4.5,1,0,0,0,0,0,3.5,0.5,0,0,0,0,0
5,雲林縣,崙背鄉,崙背,2019/7/10,導電度 RAIN_COND (μmho/cm),0,14,0,14,0,0,0,0,16,6.8,3.2,1.1,0,0,0,0,0,38,23,0,0,0,0,0
6,雲林縣,崙背鄉,崙背,2019/7/10,酸雨 PH_RAIN (pH),0,6,0,5.9,0,0,0,0,5.6,5.6,5.6,5.6,0,0,0,0,0,5.8,5.1,0,0,0,0,0
7,雲林縣,崙背鄉,崙背,2019/7/10,小時風速值 WS_HR (m/sec),4.1,3.5,3.5,3.1,3.3,3.7,3.5,4.1,5,4.3,4.7,2.6,4.1,4.1,4.2,5.1,4.5,3.9,3.6,3.1,2.5,3.6,2.9,2.3
8,雲林縣,崙背鄉,崙背,2019/7/10,風向 WIND_DIREC (degrees),172,178,162,165,172,169,162,163,194,172,188,184,171,164,167,166,173,195,163,147,164,160,139,143
9,雲林縣,崙背鄉,崙背,2019/7/10,溫度 AMB_TEMP (℃),28,27.8,27.3,27,27.5,27.7,28.2,29.7,30.4,28.5,29.8,28,28.4,28.9,29.7,30.5,29.9,28.8,27.3,27,26.8,26.8,26.6,26.4
10,雲林縣,崙背鄉,崙背,2019/7/10,風速 WIND_SPEED (m/sec),4.6,3.4,2.5,3.4,3.4,4.9,3.7,5.2,6.9,4.8,5.1,2.7,4.7,4.1,5.2,5,5.5,3.5,3.5,3.6,2.6,3.4,2.8,2.4
11,雲林縣,崙背鄉,崙背,2019/7/10,氮氧化物 NOx (ppb),4.8,5.3,5.5,3.2,3.1,4.6,4.4,4.5,5.8,5.8,5.6,7,x,5.9,6.7,6.7,7.5,6.2,4.7,4,4.4,4.7,3.8,3.8
12,雲林縣,崙背鄉,崙背,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),30,22,17,20,29,25,20,22,26,19,12,21,x,x,14,20,15,18,10,9,7,6,6,5
13,雲林縣,崙背鄉,崙背,2019/7/10,臭氧 O3 (ppb),16,17,18,20,18,18,18,19,23,24,26,25,x,x,25,29,26,25,24,24,21,18,23,20
14,雲林縣,崙背鄉,崙背,2019/7/10,一氧化碳 CO (ppm),0.12,0.13,0.13,0.11,0.11,0.12,0.12,0.13,0.17,0.12,0.14,0.12,x,0.15,0.15,0.15,0.16,0.14,0.12,0.12,0.13,0.15,0.12,0.11
15,雲林縣,崙背鄉,崙背,2019/7/10,二氧化氮 NO2 (ppb),4.7,4.7,4.9,2.5,2.7,3.6,3.5,3.4,4.2,4.3,3.8,5.3,x,4.4,5.1,5.1,5.7,5.1,4,3.2,4,4.3,3.2,3.5
16,雲林縣,崙背鄉,崙背,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),6,8,6,4,11,11,10,12,9,9,6,9,x,x,8,10,8,12,8,6,3,2,3,4
17,雲林縣,崙背鄉,崙背,2019/7/10,相對濕度 RH (percent),83,83,83,83,83,83,83,81,78,83,81,83,83,83,83,83,82,82,83,83,83,83,83,83
18,雲林縣,斗六市,斗六,2019/7/10,小時風速值 WS_HR (m/sec),1.5,1.3,1.5,1.3,1.6,1.7,1.7,1.9,2.1,2.8,2.2,2.6,2.6,1.9,1.9,2,1.7,1.7,2.5,1.8,0.8,1.6,1.1,1.3
19,雲林縣,斗六市,斗六,2019/7/10,氮氧化物 NOx (ppb),2.9,3.5,3.5,3.8,3.5,4,5.2,6.9,7.5,7.7,11,9.2,7.5,9.5,10,9.6,11,10,9.4,11,8.4,7.6,5.8,4.8
20,雲林縣,斗六市,斗六,2019/7/10,二氧化氮 NO2 (ppb),2,2.2,2.2,2.4,2.2,2.6,3.6,4.3,4.5,5.2,6.4,5.4,5.2,6.1,6.6,6.6,8.1,7.7,7.3,8.8,6.7,5.7,4.2,3.2
21,雲林縣,斗六市,斗六,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
22,雲林縣,斗六市,斗六,2019/7/10,風向 WIND_DIREC (degrees),193,201,188,191,190,183,183,184,200,194,189,208,181,184,195,190,193,218,227,183,172,167,129,122
23,雲林縣,斗六市,斗六,2019/7/10,臭氧 O3 (ppb),19,20,21,18,19,19,18,19,23,25,23,29,29,22,24,25,21,21,22,19,19,19,18,16
24,雲林縣,斗六市,斗六,2019/7/10,二氧化硫 SO2 (ppb),1.8,2,2.1,2.1,2.1,2.3,2.2,2.1,1.8,1.8,1.9,1.7,2.1,2.3,2,1.7,1.8,2,2.1,2.5,2.4,2.4,2.6,2.6
25,雲林縣,斗六市,斗六,2019/7/10,一氧化碳 CO (ppm),0.08,0.1,0.09,0.09,0.09,0.1,0.16,0.2,0.18,0.19,0.17,0.16,0.16,0.17,0.16,0.17,0.21,0.29,0.27,0.23,0.21,0.18,0.15,0.13
26,雲林縣,斗六市,斗六,2019/7/10,溫度 AMB_TEMP (℃),30.5,29.5,29.1,28.2,28.5,29,29.2,31,33.3,33,33.5,35.9,31.4,29.5,31.6,31.4,30.8,31.1,29.5,28.6,28.1,28.3,28.2,28
27,雲林縣,斗六市,斗六,2019/7/10,相對濕度 RH (percent),69,76,80,87,80,77,76,70,61,65,63,55,76,85,74,74,78,75,81,89,92,91,92,91
28,雲林縣,斗六市,斗六,2019/7/10,一氧化氮 NO (ppb),0.9,1.3,1.3,1.4,1.3,1.5,1.6,2.6,3,2.6,4.7,3.8,2.3,3.4,3.8,3,3.4,2.7,2.1,2.1,1.7,1.9,1.6,1.7
29,雲林縣,斗六市,斗六,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),12,14,18,6,3,1,7,6,5,6,19,20,15,9,8,6,6,8,7,5,1,1,2,5
30,雲林縣,斗六市,斗六,2019/7/10,風速 WIND_SPEED (m/sec),1.7,1.4,1.1,2.3,2.2,2.5,1.9,2.6,2.7,3.1,2.7,4.1,2.2,2.8,2.2,2.4,1.9,2.3,2.3,2.2,1,1.8,1.8,1.2
31,雲林縣,斗六市,斗六,2019/7/10,小時風向值 WD_HR (degrees),189,202,200,191,186,198,188,186,192,213,187,197,206,182,187,198,187,209,224,219,160,193,148,125
32,雲林縣,臺西鄉,臺西,2019/7/10,二氧化硫 SO2 (ppb),1.1,0.7,0.9,1,0.6,0.8,1,0.9,1.4,1.1,1,1,0.7,0.7,0.8,0.9,0.7,0.9,0.7,1,0.8,1,1,0.7
33,雲林縣,臺西鄉,臺西,2019/7/10,甲烷 CH4 (ppm),1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.7,1.8,1.7,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.8,1.8
34,雲林縣,臺西鄉,臺西,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),5,8,6,8,7,8,10,3,6,7,6,8,3,8,11,7,7,6,4,6,6,1,2,1
35,雲林縣,臺西鄉,臺西,2019/7/10,相對濕度 RH (percent),84,85,85,88,88,88,86,83,81,85,82,85,81,80,82,81,85,87,89,89,89,88,88,87
36,雲林縣,臺西鄉,臺西,2019/7/10,一氧化碳 CO (ppm),0.11,0.11,0.1,0.11,0.1,0.1,0.11,0.12,0.12,0.13,0.11,0.13,0.11,0.11,0.13,0.14,0.14,0.12,0.12,0.12,0.12,0.12,0.1,0.11
37,雲林縣,臺西鄉,臺西,2019/7/10,臭氧 O3 (ppb),15,16,17,16,16,15,15,17,21,22,25,26,30,29,27,29,26,25,21,21,21,19,22,20
38,雲林縣,臺西鄉,臺西,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
39,雲林縣,臺西鄉,臺西,2019/7/10,氮氧化物 NOx (ppb),5.7,5.5,5.8,5.2,5.1,5.4,6.4,7.3,6.2,6.4,6,6,5.9,5.1,6.9,6.8,6.4,5.9,6.3,6.8,5.7,6.4,4.9,4.8
40,雲林縣,臺西鄉,臺西,2019/7/10,風速 WIND_SPEED (m/sec),4.6,4.4,4.4,4.4,3.8,3.9,4.2,4.6,6,5.1,4.7,3.6,5.4,5,4.7,4.7,5.1,2.9,3.4,4.1,3.5,5,3.5,3.4
41,雲林縣,臺西鄉,臺西,2019/7/10,溫度 AMB_TEMP (℃),27.6,27.3,27.2,26.9,27,27.1,27.4,28.6,28.9,28.2,29.3,28.8,29.7,30.4,29.6,29.8,29,27.3,27.4,27,26.7,26.6,26.5,26.4
42,雲林縣,臺西鄉,臺西,2019/7/10,風向 WIND_DIREC (degrees),165,170,151,154,169,166,166,168,160,163,160,188,161,159,166,168,167,174,167,153,161,157,148,160
43,雲林縣,臺西鄉,臺西,2019/7/10,總碳氫化合物 THC (ppm),1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.7,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.7,1.8
44,雲林縣,臺西鄉,臺西,2019/7/10,小時風速值 WS_HR (m/sec),4.6,3.6,4.7,4.5,3.4,3.6,3.9,4.4,5.3,5.2,5.7,3.7,4.6,5,4.4,4.8,4.2,3.5,2.9,3.9,3.5,4.5,3.9,3.7
45,雲林縣,臺西鄉,臺西,2019/7/10,小時風向值 WD_HR (degrees),168,172,158,156,167,171,166,162,165,162,161,170,190,169,165,164,170,195,168,153,160,158,153,153
46,雲林縣,臺西鄉,臺西,2019/7/10,一氧化氮 NO (ppb),2.5,1.4,2,1,1.5,1.4,2.3,3,1.9,2.3,2,1.9,2.3,2.2,2.1,2.3,1.6,1.6,1.8,2.1,1.8,1.5,1.5,1.7
47,雲林縣,臺西鄉,臺西,2019/7/10,二氧化氮 NO2 (ppb),3.1,4.1,3.8,4.2,3.6,3.9,4.1,4.2,4.3,4.1,3.9,4.1,3.6,2.9,4.7,4.5,4.8,4.3,4.5,4.7,3.9,5,3.4,3.2
48,雲林縣,臺西鄉,臺西,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0,0,-0.02,-0.02,-0.03,-0.02,-0.02,-0.01,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,-0.02,-0.02,-0.03,-0.02,-0.01,-0.03,-0.02
49,雲林縣,麥寮鄉,麥寮,2019/7/10,二氧化硫 SO2 (ppb),1.5,1.7,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1,1.1,1.2,1.2,1.2,1.1,1.3,1.1,1.3,1,1.1,1.3
50,雲林縣,麥寮鄉,麥寮,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.01,0,-0.01,-0.01,0.01,0.01,0.04,0.03,x,0.03,0.03,0.05,0.03,0.02,0.04,0.05,0.06,0.06,0.13,0.08,0.08,0.06,0.02,0.03
51,雲林縣,麥寮鄉,麥寮,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),4,6,8,6,4,4,7,7,8,6,4,3,4,5,4,4,4,4,3,3,3,2,1,1
52,雲林縣,麥寮鄉,麥寮,2019/7/10,相對濕度 RH (percent),84,85,87,90,89,89,87,83,83,87,81,86,85,83,83,82,86,90,92,92,91,91,90,89
53,雲林縣,麥寮鄉,麥寮,2019/7/10,一氧化碳 CO (ppm),0.2,0.13,0.13,0.13,0.16,0.15,0.24,0.25,0.22,0.22,0.22,0.27,0.22,0.19,0.2,0.24,0.27,0.34,0.42,0.27,0.27,0.25,0.16,0.2
54,雲林縣,麥寮鄉,麥寮,2019/7/10,臭氧 O3 (ppb),15,16,17,16,15,17,14,16,18,20,23,21,24,24,23,26,21,19,15,17,17,17,19,17
55,雲林縣,麥寮鄉,麥寮,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
56,雲林縣,麥寮鄉,麥寮,2019/7/10,氮氧化物 NOx (ppb),5.2,4.5,4.1,3.8,5.4,5.1,7.2,8.7,8.3,9.1,7.4,12,7.6,7.6,8.6,8.8,9.7,11,15,9.3,9.4,8,5,6.4
57,雲林縣,麥寮鄉,麥寮,2019/7/10,風速 WIND_SPEED (m/sec),3.6,3.9,3.2,3.6,2.7,3.7,3.4,4.5,5.5,4.1,4.6,2.7,4.7,4.8,4.6,3.8,3.7,2.7,2.9,3.6,2.8,3.8,3.1,2.9
58,雲林縣,麥寮鄉,麥寮,2019/7/10,溫度 AMB_TEMP (℃),27.9,27.7,27.3,27,27.2,27.4,27.7,28.7,29,28,29.3,28.5,29.2,29.5,29.3,29.7,29,27.4,27.2,27,26.8,26.7,26.5,26.5
