序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),小時測值,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,高雄市,仁武區,仁武,2019/7/10,二氧化硫 SO2 (ppb),1.5,1.6,1.5,1.3,1.9,1.8,3.2,2.3,1.9,1.6,1.5,1.5,1.6,1.3,1.5,1.6,1.6,1.5,1.7,1.8,2,2,2.4,3.4
2,高雄市,仁武區,仁武,2019/7/10,非甲烷碳氫化合物 NMHC (ppm),0.11,0.1,0.07,0.06,0.09,0.11,0.1,0.14,0.14,0.07,0.05,0.04,0.05,0.04,0.06,0.06,0.12,0.14,0.12,0.11,0.07,0.1,0.16,0.15
3,高雄市,仁武區,仁武,2019/7/10,細懸浮微粒 PM 2.5  (μg/m 3 ),4,4,1,7,4,11,3,9,14,16,18,14,3,3,7,12,6,9,9,13,6,6,6,6
4,高雄市,仁武區,仁武,2019/7/10,相對濕度 RH (percent),94,93,94,94,95,96,96,95,89,82,79,80,82,85,82,83,89,91,92,93,94,95,95,96
5,高雄市,仁武區,仁武,2019/7/10,一氧化碳 CO (ppm),0.29,0.24,0.2,0.14,0.17,0.2,0.28,0.49,0.45,0.24,0.2,0.18,0.21,0.2,0.21,0.2,0.26,0.37,0.35,0.28,0.25,0.22,0.24,0.2
6,高雄市,仁武區,仁武,2019/7/10,臭氧 O3 (ppb),11,12,13,19,13,11,7.7,10,16,24,24,25,25,22,25,22,18,15,17,18,18,20,18,20
7,高雄市,仁武區,仁武,2019/7/10,懸浮微粒 PM 10  (μg/m 3 ),25,19,20,8,18,21,27,26,34,34,32,39,26,22,37,35,22,15,19,15,12,7,4,4
8,高雄市,仁武區,仁武,2019/7/10,氮氧化物 NOx (ppb),12,8.1,6.8,3.4,6.9,9.7,15,19,18,11,11,9.3,11,13,10,12,13,15,12,9.6,7.9,7.1,10,7.7
9,高雄市,仁武區,仁武,2019/7/10,風速 WIND_SPEED (m/sec),1.5,1.2,1.3,1,1.3,1.5,1.5,1.5,1.9,4,4.2,5.8,5.1,2.7,2.3,2.5,2,2.5,2.5,2.3,2.4,3.1,2.7,2.7
10,高雄市,仁武區,仁武,2019/7/10,溫度 AMB_TEMP (℃),27.2,27.5,27,26.8,27,26.9,26.9,28.3,29.7,30.8,31.3,30.7,30.2,29.1,30.8,30.3,28.3,27.8,27.5,27.2,26.7,26.2,25.7,25.5
11,高雄市,仁武區,仁武,2019/7/10,風向 WIND_DIREC (degrees),85,126,356,105,98,86,91,130,150,201,221,217,220,212,196,108,41,97,69,93,148,22,81,2.3
12,高雄市,仁武區,仁武,2019/7/10,總碳氫化合物 THC (ppm),2.1,2.1,2,2,2.1,2.1,2.1,2.2,2.1,1.9,1.8,1.8,1.8,1.8,1.9,1.9,2,2,2,2,2,1.9,2,2
13,高雄市,仁武區,仁武,2019/7/10,小時風速值 WS_HR (m/sec),1,0.8,1.2,0.9,0.8,1.1,1.3,0.8,1.6,3.6,3.4,4.1,3.2,2.3,2.1,2,1.3,1.5,1.5,1.2,1.6,2.7,1.6,2.6
14,高雄市,仁武區,仁武,2019/7/10,小時風向值 WD_HR (degrees),132,91,111,77,83,82,88,104,137,202,210,218,220,225,204,210,85,89,87,92,92,28,42,8.5
15,高雄市,仁武區,仁武,2019/7/10,一氧化氮 NO (ppb),0.7,0.3,0.2,0.2,0.3,0.6,4.4,7.8,6.7,3.6,3.1,2.4,3.3,3.2,2.9,2.3,2,1.8,1.1,0.3,0.3,0.4,0.6,0.5
